BattleSquadStance/battle_squad_stance/=NPC_BusyWithEncounterdisplay_name|Busy With Encounter
BattleSquadStance/battle_squad_stance/=NPC_BusyWithEncounterdescription|These units are currently busy with the encounter they are related to, but may be aggroed depending on what actions you take.
BattleSquadStance/battle_squad_stance/=NPC_HeightenedAlertnessdisplay_name|Heightened Alertness
BattleSquadStance/battle_squad_stance/=NPC_HeightenedAlertnessdescription|These units have been put on alert and on the lookout for hostile activity, but are not actively fighting.
BattleSquadStance/battle_squad_stance/=NPC_WeaponsFreedisplay_name|Weapons Free
BattleSquadStance/battle_squad_stance/=NPC_WeaponsFreedescription|These units have been aggroed and will fire on anyone the percieve to be a threat.
BattleSquadStance/battle_squad_stance/=Player_HoldFiredisplay_name|Hold Fire
BattleSquadStance/battle_squad_stance/=Player_HoldFiredescription|These units will not fire unless given explicit orders to do so.  They will still return fire if directly attacked.
BattleSquadStance/battle_squad_stance/=Player_AttackEnemiesdisplay_name|Attack Enemies
BattleSquadStance/battle_squad_stance/=Player_AttackEnemiesdescription|These units will attack any enemy units that come within range.
BattleSquadStance/battle_squad_stance/=Player_HuntEnemiesdisplay_name|Hunt Enemies
BattleSquadStance/battle_squad_stance/=Player_HuntEnemiesdescription|These units will attack any enemy units that are within range, or seek out enemy units if none are within range.
BattleSquadStance/battle_squad_stance/=Player_AttackAlldisplay_name|Attack All
BattleSquadStance/battle_squad_stance/=Player_AttackAlldescription|These units will attack any units that comes within range, allegiances completely ignored.
BattleUnitAttributeType/battle_unit_attribute_type/=Healthdisplay_name|Health
BattleUnitAttributeType/battle_unit_attribute_type/=Healthdescription|Unit perishes when it reaches zero.
BattleUnitAttributeType/battle_unit_attribute_type/=NonlethalDamagedisplay_name|Nonlethal Damage
BattleUnitAttributeType/battle_unit_attribute_type/=NonlethalDamagedescription|Unit falls unconscious and can take no actions if Nonlethal Damage exceeds current Health.
BattleUnitAttributeType/battle_unit_attribute_type/=Armordisplay_name|Armor
BattleUnitAttributeType/battle_unit_attribute_type/=Armordescription|Reduces incoming damage to health unless armor piercing is used.
BattleUnitAttributeType/battle_unit_attribute_type/=Shieldingdisplay_name|Shielding
BattleUnitAttributeType/battle_unit_attribute_type/=Shieldingdescription|Takes damage instead of health when present.
BattleUnitAttributeType/battle_unit_attribute_type/=ShieldRechargedisplay_name|Shield Recharge
BattleUnitAttributeType/battle_unit_attribute_type/=ShieldRechargedescription|How quickly shields regenerate each turn.
BattleUnitAttributeType/battle_unit_attribute_type/=Speeddisplay_name|Speed
BattleUnitAttributeType/battle_unit_attribute_type/=Speeddescription|How far the unit can move in a single turn.
BattleUnitAttributeType/battle_unit_attribute_type/=DetectionRangedisplay_name|Detection Range
BattleUnitAttributeType/battle_unit_attribute_type/=DetectionRangedescription|How far the unit can see potential hostile squads.
BattleUnitAttributeType/battle_unit_attribute_type/=AIProgressWhenKilledByPlayerdisplay_name|AI Progress When Killed By Player
BattleUnitAttributeType/battle_unit_attribute_type/=AIProgressWhenKilledByPlayerdescription|When the player kills this unit, how much AI Progress (like EXP) do they get?
BattleUnitAttributeType/battle_unit_attribute_type/=CloakDurationdisplay_name|Cloak Duration
BattleUnitAttributeType/battle_unit_attribute_type/=CloakDurationdescription|How long a unit can stay cloaked.
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=HoldFiredescription|All of the units in the selected squads will cease firing unless they are fired upon.  When in a building and not under fire, this will lead them to be hidden from enemies outside.
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=HuntEnemiesAtWilldisplay_name|Hunt Enemies At Will
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=HuntEnemiesAtWilldescription|All of the units in the selected squads roam at will, looking for enemies to fire upon.
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=EnterBuildingAndTryToReachTopFloordisplay_name|Enter Building And Try To Reach Top Floor
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=EnterBuildingAndTryToReachTopFloordescription|All of the units in the selected squads will enter the building and try to reach as high a floor as they can, fighting resistance along the way.
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=EnterBuildingAndTryToReachLowestBasementdisplay_name|Enter Building And Try To Reach Lowest Basement
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=EnterBuildingAndTryToReachLowestBasementdescription|All of the units in the selected squads will enter the building and try to reach as low a basement level as they can, fighting resistance along the way.
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=SelfDestructdisplay_name|Self Destruct
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=SelfDestructdescription|All of the units in the selected squads self-destruct, dealing massive damage to enemies and surrounding buildings in the process.
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=EMPBurstdisplay_name|EMP Burst
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=EMPBurstdescription|A burst of electromagnetic radiation is emitted, disrupting electronics on any units that are not properly shielded.  Hopefully that does not include us.
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=TakeHostagedisplay_name|Take Hostage
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=TakeHostagedescription|Grab an enemy if they are sufficiently weak, and take them for the mind farms.
BattleUnitPlayerActiveAbilityType/battle_unit_player_active_ability_type/=Intimidatedisplay_name|Intimidate
