BattleUnitType/battle_unit_type/=NPCCrime_Rioterdisplay_name|Rioter
BattleUnitType/battle_unit_type/=NPCCrime_Rioterdescription|Little more than an angry person with rudimentary weapons.
BattleUnitType/battle_unit_type/=NPCCrime_ArmedRioterdisplay_name|Armed Rioter
BattleUnitType/battle_unit_type/=NPCCrime_ArmedRioterdescription|Armed with guns, these rioters think they're protecting things but they actually make everything worse.
BattleUnitType/battle_unit_type/=NPCCrime_Looterdisplay_name|Looter
BattleUnitType/battle_unit_type/=NPCCrime_Looterdescription|Lowlifes more preocupied with fleeing the area with resources than anything else.
BattleUnitType/battle_unit_type/=NPCCrime_Arsonistdisplay_name|Arsonist
BattleUnitType/battle_unit_type/=NPCCrime_Arsonistdescription|As bad as brutes, but they either have a weird preference for fire or think it is somehow the solution to societal problems.
BattleUnitType/battle_unit_type/=NPCCrime_Instigatordisplay_name|Riot Instigator
BattleUnitType/battle_unit_type/=NPCCrime_Instigatordescription|Often toting megaphones, these criminals encourage rioting and looting as a response to society's issues.
BattleUnitType/battle_unit_type/=NPCCriSynd_Associatedisplay_name|Syndicate Associate
BattleUnitType/battle_unit_type/=NPCCriSynd_Associatedescription|Initiates into criminal syndicates stay in this role until they prove themselves or die trying.
BattleUnitType/battle_unit_type/=NPCCriSynd_Enforcerdisplay_name|Syndicate Enforcer
BattleUnitType/battle_unit_type/=NPCCriSynd_Enforcerdescription|Experienced criminals, good in combat.
BattleUnitType/battle_unit_type/=NPCCriSynd_Triggermandisplay_name|Syndicate Triggerman
BattleUnitType/battle_unit_type/=NPCCriSynd_Triggermandescription|Enforcers who are especially fond of killing, but who lack the finesse to climb higher in the hierarchy.
BattleUnitType/battle_unit_type/=NPCCriSynd_Hitmandisplay_name|Syndicate Hitman
BattleUnitType/battle_unit_type/=NPCCriSynd_Hitmandescription|Experienced assassin, deadly and dangerous. Be extra wary of bald ones.
BattleUnitType/battle_unit_type/=NPCCriSynd_Bodyguarddisplay_name|Syndicate Bodyguard
BattleUnitType/battle_unit_type/=NPCCriSynd_Bodyguarddescription|The best of the best, chosen to guard the Syndicate bosses.
BattleUnitType/battle_unit_type/=NPCCriSynd_Capodisplay_name|Syndicate Capo
BattleUnitType/battle_unit_type/=NPCCriSynd_Capodescription|Someone has to be in charge of criminals, and Capos are usually it.
BattleUnitType/battle_unit_type/=NPCCriSynd_Underbossdisplay_name|Syndicate Underboss
BattleUnitType/battle_unit_type/=NPCCriSynd_Underbossdescription|The second in command of a criminal syndicate, capable of leading large groups and putting up a strong fight.
BattleUnitType/battle_unit_type/=NPCCriSynd_Bossdisplay_name|Syndicate Boss
BattleUnitType/battle_unit_type/=NPCCriSynd_Bossdescription|The boss of a crime syndicate, always accompanied by capable bodyguards.
BattleUnitType/battle_unit_type/=NPCCriSynd_Kingpindisplay_name|Syndicate Kingpin
BattleUnitType/battle_unit_type/=NPCCriSynd_Kingpindescription|The boss of all the bosses, who somehow managed to unite all Syndicates under his thumb. It is rare for someone to reach this position, and even rarer for them to stay alive in it.
BattleUnitType/battle_unit_type/=NPCGang_Brutedisplay_name|Brute
BattleUnitType/battle_unit_type/=NPCGang_Brutedescription|Petty criminals, lowest in the food chain. Cowardly and weak, even by criminal's low standards.
BattleUnitType/battle_unit_type/=NPCGang_Burglardisplay_name|Gang Burglar
BattleUnitType/battle_unit_type/=NPCGang_Burglardescription|These thieves favor stealth over direct confrontations.
BattleUnitType/battle_unit_type/=NPCGang_Bagmandisplay_name|Gang Bagman
BattleUnitType/battle_unit_type/=NPCGang_Bagmandescription|Responsible for driving things or carrying money. Not much use in a fight, and will try to flee at any chance.
BattleUnitType/battle_unit_type/=NPCGang_Muscledisplay_name|Gang Muscle
BattleUnitType/battle_unit_type/=NPCGang_Muscledescription|Aggressive and focused on physical violence over thinking matters, these criminals act as bodyguards and enforcers for gang operations.
BattleUnitType/battle_unit_type/=NPCGang_Ghostdisplay_name|Gang Ghost
BattleUnitType/battle_unit_type/=NPCGang_Ghostdescription|Experienced thieves, capable of sneaking under surveilled areas.
BattleUnitType/battle_unit_type/=NPCGang_Techniciandisplay_name|Gang Technician
BattleUnitType/battle_unit_type/=NPCGang_Techniciandescription|Smarter than other criminals and with a propensity to science, these lowlives specialize in creating contraptions and supporting criminal activities.
BattleUnitType/battle_unit_type/=NPCGang_Chiefdisplay_name|Gang Chief
BattleUnitType/battle_unit_type/=NPCGang_Chiefdescription|Cleverer or more ruthless than your run of the mill criminals, this one is in charge of small groups of thieves.
BattleUnitType/battle_unit_type/=MegaCorp_Talonsdisplay_name|MegaCorp Talons
BattleUnitType/battle_unit_type/=MegaCorp_Talonsdescription|Able to walk into boarding rooms during the day and sneak into secure facilities by night, MegaCorp's infiltrators are sneaky, competent, and extremely deadly.
BattleUnitType/battle_unit_type/=MegaCorp_Eliminatordisplay_name|MegaCorp Eliminator
BattleUnitType/battle_unit_type/=MegaCorp_Eliminatordescription|The most deadly, heavily armored, dangerous humans in existence. It takes an unique individual to face them and come out alive.
BattleUnitType/battle_unit_type/=MegaCorp_Liquidatordisplay_name|MegaCorp Liquidator
BattleUnitType/battle_unit_type/=MegaCorp_Liquidatordescription|Specialized in long range combat over close quarter engagement, these infiltration soldiers can one-shot a tank from several city blocks of distance.
BattleUnitType/battle_unit_type/=MegaCorp_Judicatordisplay_name|MegaCorp Judicator
BattleUnitType/battle_unit_type/=MegaCorp_Judicatordescription|AI-augmented human soldiers clad in power armor, these flying elite units are able to surpass even Titanium Knights in a direct fight.
BattleUnitType/battle_unit_type/=Mil_Riflemandisplay_name|Rifleman
BattleUnitType/battle_unit_type/=Mil_Riflemandescription|Basic footsoldier, capable of fulfilling any core tactical offensive or defensive role.
BattleUnitType/battle_unit_type/=Mil_Shotgunnerdisplay_name|Shotgunner
BattleUnitType/battle_unit_type/=Mil_Shotgunnerdescription|Heavily-armored assault soldier, specialized in getting close to enemies with a high-caliber shotgun.
BattleUnitType/battle_unit_type/=Mil_RiotTrooperdisplay_name|Riot Trooper
