BuildingOutput/building_output/=BuildingPermitProcessingdisplay_name|Processing Building Permits
BuildingOutput/building_output/=BuildingPermitIssuedisplay_name|Issuing Building Permits
BuildingOutput/building_output/=IDDocsProcessingdisplay_name|Processing ID Documents
BuildingOutput/building_output/=IDDocsIssuedisplay_name|Issuing ID Documents
BuildingOutput/building_output/=ParkingPassAvailabilitydisplay_name|Parking Pass Availability
BuildingOutput/building_output/=ParkingPassSaledisplay_name|Parking Pass Sale
BuildingOutput/building_output/=AdmissionTicketSmallAvailabilitydisplay_name|Admission Ticket Availability
BuildingOutput/building_output/=AdmissionTicketSmallSaledisplay_name|Admission Ticket Sale
BuildingOutput/building_output/=OrganicChemicalsManufacturingdisplay_name|Organic Chemicals Manufacturing
BuildingOutput/building_output/=InorganicChemicalsManufacturingdisplay_name|Inorganic Chemicals Manufacturing
BuildingOutput/building_output/=AcidManufacturingdisplay_name|Acid Manufacturing
BuildingOutput/building_output/=IndustrialAcidsAssemblydisplay_name|Industrial Acids Assembly
BuildingOutput/building_output/=SoapManufacturingdisplay_name|Soap Manufacturing
BuildingOutput/building_output/=FertilizerManufacturingdisplay_name|Fertilizer Manufacturing
BuildingOutput/building_output/=PesticideManufacturingdisplay_name|Pesticide Manufacturing
BuildingOutput/building_output/=SewageProcessingForSaledisplay_name|Sewage Processing
BuildingOutput/building_output/=MinorDangerousWasteProcessingdisplay_name|Waste Processing
BuildingOutput/building_output/=WaterPurificationPlantdisplay_name|Water Purification
BuildingOutput/building_output/=WaterPurificationPlantWelldisplay_name|Water Plant Well
BuildingOutput/building_output/=MineshaftWaterSourcedisplay_name|Mineshaft Water Well
BuildingOutput/building_output/=SmallPotableWaterSourcedisplay_name|Potable Water Extraction
BuildingOutput/building_output/=PotableToPureWaterdisplay_name|Potable Water Conversion
BuildingOutput/building_output/=Carwashdisplay_name|Carwash
BuildingOutput/building_output/=Gamblingdisplay_name|Gambling.
BuildingOutput/building_output/=MovieProductiondisplay_name|Movie production.
BuildingOutput/building_output/=MovieTicketSalesdisplay_name|Movie ticket sales.
BuildingOutput/building_output/=MotelRoomPreparationdisplay_name|Motel room cleaning.
BuildingOutput/building_output/=MotelRoomReservationdisplay_name|Motel room reservation.
BuildingOutput/building_output/=HotelRoomPreparationdisplay_name|Hotel room cleaning.
BuildingOutput/building_output/=HotelRoomReservationdisplay_name|Hotel room reservation.
BuildingOutput/building_output/=BankingLoansdisplay_name|Banking loans.
BuildingOutput/building_output/=BankingInterestdisplay_name|Banking interest fees.
BuildingOutput/building_output/=AlcoholicDrinkSalesdisplay_name|Drink Sales
BuildingOutput/building_output/=SoftDrinkSalesdisplay_name|Soft Drink Sales
BuildingOutput/building_output/=ThermalPowerdisplay_name|Thermal Power
BuildingOutput/building_output/=WindPowerdisplay_name|Wind Power
BuildingOutput/building_output/=SolarPowerdisplay_name|Solar Power
BuildingOutput/building_output/=FusionPowerdisplay_name|Fusion Power
BuildingOutput/building_output/=CottonFabricProductiondisplay_name|Cotton Fabric Production
BuildingOutput/building_output/=CottonClothesProductiondisplay_name|Cotton Clothes Production
BuildingOutput/building_output/=PolyesterFabricProductiondisplay_name|Polyester Fabric Production
BuildingOutput/building_output/=PolyesterClothesProductiondisplay_name|Polyester Clothes Production
BuildingOutput/building_output/=MixedClothesProductiondisplay_name|Mixed Clothes Production
BuildingOutput/building_output/=CottonClothesSalesdisplay_name|Cotton Clothes Sales
BuildingOutput/building_output/=PolyesterClothesSalesdisplay_name|Polyester Clothes Sales
BuildingOutput/building_output/=MixedClothesSalesdisplay_name|Mixed Clothes Sales
BuildingOutput/building_output/=AdvancedComponentsdisplay_name|Advanced Components Production
BuildingOutput/building_output/=ElectronicsManufacturingdisplay_name|Electronics Manufacturing
BuildingOutput/building_output/=HighTechVehicleComponentsdisplay_name|Computer Manufacturing
BuildingOutput/building_output/=Smeltingdisplay_name|Smelter Refinery
BuildingOutput/building_output/=BasicMaterialsdisplay_name|Basic Construction Material
BuildingOutput/building_output/=FarmFieldsProducedisplay_name|Fresh Produce
BuildingOutput/building_output/=FarmFieldsWheatdisplay_name|Wheat
BuildingOutput/building_output/=FarmWellWaterdisplay_name|Well Water
BuildingOutput/building_output/=FarmMilkProductiondisplay_name|Milk
BuildingOutput/building_output/=FarmCottonProductiondisplay_name|Cotton
BuildingOutput/building_output/=FarmProducePackagingdisplay_name|Produce Packaging
BuildingOutput/building_output/=FarmMeatProductiondisplay_name|Meat Production
BuildingOutput/building_output/=FarmMeatPackingdisplay_name|Meat Packing
BuildingOutput/building_output/=GranaryWheatMillingdisplay_name|Wheat Milling
BuildingOutput/building_output/=HydroponicFarmingdisplay_name|Hydroponic Farming
BuildingOutput/building_output/=BurgerConstructiondisplay_name|Burger Making
BuildingOutput/building_output/=BurgerSalesdisplay_name|Burger Sales
BuildingOutput/building_output/=VeggieBagelSandwichmakingdisplay_name|Bagel Making
BuildingOutput/building_output/=DonutConstructiondisplay_name|Donut Making
BuildingOutput/building_output/=DonutSalesdisplay_name|Donut Sales
BuildingOutput/building_output/=IcecreamConstructiondisplay_name|Icecream Making
BuildingOutput/building_output/=IcecreamSalesdisplay_name|Icecream Sales
BuildingOutput/building_output/=GroceryAssemblydisplay_name|Grocery Assembly
BuildingOutput/building_output/=GrocerySalesdisplay_name|Grocery Sales
BuildingOutput/building_output/=SpecialtyGroceryAssemblydisplay_name|Specialty Grocery Assembly
BuildingOutput/building_output/=SpecialtyGrocerySalesdisplay_name|Specialty Grocery Sales
BuildingOutput/building_output/=LegalDocsCreationdisplay_name|Creating Legal Documents
BuildingOutput/building_output/=LegalDocsProcessingdisplay_name|Processing Legal Documents
BuildingOutput/building_output/=ClinicCaredisplay_name|Clinic Care
BuildingOutput/building_output/=HospitalCaredisplay_name|Hospital Care
BuildingOutput/building_output/=MineralsMiningLargeBdisplay_name|Heavy Mineral Extraction
BuildingOutput/building_output/=MineralsMiningMediumAdisplay_name|Medium Mineral Extraction
BuildingOutput/building_output/=NuclearPowerGenerationdisplay_name|Nuclear Power Generation
BuildingOutput/building_output/=OilExtractiondisplay_name|Oil Extraction
BuildingOutput/building_output/=RefineryPetroleumdisplay_name|Refinery Petroleum Production
BuildingOutput/building_output/=RefineryNaturalGasdisplay_name|Refinery Natural Gas Production
BuildingOutput/building_output/=PharmaProductiondisplay_name|Pharmaceutical Production
BuildingOutput/building_output/=PharmaSalesdisplay_name|Pharmaceutical Sales
