BuildingTag/building_tag/=Abandoneddisplay_name|Abandoned
BuildingTag/building_tag/=Airportdisplay_name|Airport
BuildingTag/building_tag/=AirportPrimedisplay_name|Airport Prime
BuildingTag/building_tag/=Apartmentsdisplay_name|Apartments
BuildingTag/building_tag/=Automotivedisplay_name|Automotive
BuildingTag/building_tag/=Bankdisplay_name|Bank
BuildingTag/building_tag/=Chopshopdisplay_name|Chopshop
BuildingTag/building_tag/=ChemicalPlantdisplay_name|Chemical Plant
BuildingTag/building_tag/=CivilServicedisplay_name|Civil Service
BuildingTag/building_tag/=Communicationsdisplay_name|Communications
BuildingTag/building_tag/=Constructiondisplay_name|Construction
BuildingTag/building_tag/=Cryonicsdisplay_name|Cryonics
BuildingTag/building_tag/=DataCenterdisplay_name|Data Center
BuildingTag/building_tag/=DroneDeliveryTargetdisplay_name|Drone Delivery Target
BuildingTag/building_tag/=Entertainmentdisplay_name|Entertainment
BuildingTag/building_tag/=Educationdisplay_name|Education
BuildingTag/building_tag/=Energydisplay_name|Energy
BuildingTag/building_tag/=Financialdisplay_name|Financial
BuildingTag/building_tag/=Firedisplay_name|Fire
BuildingTag/building_tag/=Farmdisplay_name|Farm
BuildingTag/building_tag/=FarmAnimalsdisplay_name|Farm Animals
BuildingTag/building_tag/=Factorydisplay_name|Factory
BuildingTag/building_tag/=MechFactorydisplay_name|Mech Factory
BuildingTag/building_tag/=Fieldsdisplay_name|Fields
BuildingTag/building_tag/=Fooddisplay_name|Food
BuildingTag/building_tag/=Homelessdisplay_name|Homeless
BuildingTag/building_tag/=Housingdisplay_name|Housing
BuildingTag/building_tag/=Industrialdisplay_name|Industrial
BuildingTag/building_tag/=Liquidsdisplay_name|Liquids
BuildingTag/building_tag/=Medicaldisplay_name|Medical
BuildingTag/building_tag/=Militarydisplay_name|Military
BuildingTag/building_tag/=MilitaryCommanddisplay_name|Military Command
BuildingTag/building_tag/=Miningdisplay_name|Mining
BuildingTag/building_tag/=NuclearSilodisplay_name|Nuclear Silo
BuildingTag/building_tag/=Nanotechdisplay_name|Nanotech
BuildingTag/building_tag/=Officesdisplay_name|Offices
BuildingTag/building_tag/=Prisondisplay_name|Prison
BuildingTag/building_tag/=PoliceStationdisplay_name|Police Station
BuildingTag/building_tag/=Religiousdisplay_name|Religious
BuildingTag/building_tag/=Rocketdisplay_name|Rocket
BuildingTag/building_tag/=Schooldisplay_name|School
BuildingTag/building_tag/=ScienceLabdisplay_name|Science Lab
BuildingTag/building_tag/=Scientificdisplay_name|Scientific
BuildingTag/building_tag/=ScientificResearchdisplay_name|Scientific Research
BuildingTag/building_tag/=Securitydisplay_name|Security
BuildingTag/building_tag/=SewageTreatmentdisplay_name|Sewage Treatment
BuildingTag/building_tag/=Shoppingdisplay_name|Shopping
BuildingTag/building_tag/=ResidentialSkyscraperdisplay_name|Residential Skyscraper
BuildingTag/building_tag/=MixedUseSkyscraperdisplay_name|Mixed Use Skyscraper
BuildingTag/building_tag/=Slumsdisplay_name|Slums
BuildingTag/building_tag/=Spacedisplay_name|Space
BuildingTag/building_tag/=Spaceportdisplay_name|Spaceport
BuildingTag/building_tag/=Sportsdisplay_name|Sports
BuildingTag/building_tag/=Structuraldisplay_name|Structural
BuildingTag/building_tag/=Suburbandisplay_name|Suburban
BuildingTag/building_tag/=Undergrounddisplay_name|Underground
BuildingTag/building_tag/=Warehousedisplay_name|Warehouse
BuildingTag/building_tag/=Waterdisplay_name|Water
BuildingTag/building_tag/=Weaponsdisplay_name|Weapons
