CheatType/cheat/=AbortAllThreadsdisplay_name|Abort All Threads
CheatType/cheat/=AbortAllThreadsdescription|Abort all background threads.
CheatType/cheat/=CreditsGrantdisplay_name|Credits Grant
CheatType/cheat/=CreditsGrantdescription|Grant a million credits to one of your shell companies.
CheatType/cheat/=MachineMaterialGrantdisplay_name|Machine Material Grant
CheatType/cheat/=MachineMaterialGrantdescription|Grant 50 thousand of a specific machine material to yourself.
CheatType/cheat/=AllMachineMaterialsGrantdisplay_name|All Machine Material Grant
CheatType/cheat/=AllMachineMaterialsGrantdescription|Grant 50 thousand of all machine materials to yourself.
CheatType/cheat/=GoToStartingTiledisplay_name|Go To Starting Tile
CheatType/cheat/=GoToStartingTiledescription|Go to the center of the starting tile.
CheatType/cheat/=GoToNextBuildingdisplay_name|Go To Next Building
CheatType/cheat/=GoToNextBuildingdescription|Go to the next building of a given type.
CheatType/cheat/=ResearchGrantdisplay_name|Research Grant
CheatType/cheat/=ResearchGrantdescription|Grant a hundred million research points to all of your categories.
CheatType/cheat/=SwitchToSandboxModedisplay_name|Switch To Sandbox Mode
CheatType/cheat/=SwitchToSandboxModedescription|Leave strategic mode, and turn the game to sandbox mode isntead.
