CohortKeyIntel/npc_cohort_key_intel/=BuildingSchematicsdisplay_name|Building Schematics
CohortKeyIntel/npc_cohort_key_intel/=BuildingSchematicsdescription|Detailed plans for some of the buildings controlled by this faction.
CohortKeyIntel/npc_cohort_key_intel/=ScientificIPdisplay_name|Scientific IP
CohortKeyIntel/npc_cohort_key_intel/=ScientificIPdescription|Valuable intellectual property secrets concerning tech and science.
CohortKeyIntel/npc_cohort_key_intel/=FinancialDetailsdisplay_name|Financial Details
CohortKeyIntel/npc_cohort_key_intel/=FinancialDetailsdescription|Details about the finances of a faction.
CohortKeyIntel/npc_cohort_key_intel/=EmployeeDetailsdisplay_name|Employee Details
CohortKeyIntel/npc_cohort_key_intel/=EmployeeDetailsdescription|Details about the employees of a faction.
CohortKeyIntel/npc_cohort_key_intel/=SecurityProceduresdisplay_name|Security Procedures
CohortKeyIntel/npc_cohort_key_intel/=SecurityProceduresdescription|Details about the internal security procedures and policies of a faction.
CohortKeyIntel/npc_cohort_key_intel/=CultApocalypticProphecydisplay_name|Cult Apocalyptic Prophecy
CohortKeyIntel/npc_cohort_key_intel/=CultApocalypticProphecydescription|A leather tome prophesying the end of the world, jealously guarded.
CohortKeyIntel/npc_cohort_key_intel/=CultSaviourProphecydisplay_name|Cult Saviour Prophecy
CohortKeyIntel/npc_cohort_key_intel/=CultSaviourProphecydescription|A leather tome prophesying the saviour of the world, jealously guarded.
