ComputingResourceType/computing_resource_type/=AIProgressdisplay_name|AI Progress
ComputingResourceType/computing_resource_type/=AIProgressdescription|How close you are to the next level.
ComputingResourceType/computing_resource_type/=AILeveldisplay_name|AI Level
ComputingResourceType/computing_resource_type/=AILeveldescription|As you level up by gaining AI Progress, you gain more machine hearts and more nanoparticles.
ComputingResourceType/computing_resource_type/=MachineHeartdisplay_name|Machine Heart
ComputingResourceType/computing_resource_type/=MachineHeartdescription|One machine heart must be available to embed in any new lair you build anywhere in the city.  These cannot be used for control towers.
ComputingResourceType/computing_resource_type/=FactoryCapacitydisplay_name|Factory Capacity
ComputingResourceType/computing_resource_type/=FactoryCapacitydescription|The total available construction capacity from all of our factories.
ComputingResourceType/computing_resource_type/=CPUCyclesdisplay_name|CPU Cycles
ComputingResourceType/computing_resource_type/=CPUCyclesdescription|The total available cpu cycles from The Neuronet, as provided cumulatively from all our mind farms.
