EcoObjectType/eco_object_type/=Butterfliesdisplay_name|Butterflies
EcoObjectType/eco_object_type/=Butterfliesdescription|Papillons, so light, so airy, papillons.
EcoObjectType/eco_object_type/=Rabbitdisplay_name|Rabbits
EcoObjectType/eco_object_type/=Rabbitdescription|Soft fluff balls.
EcoObjectType/eco_object_type/=Deerdisplay_name|Deer
EcoObjectType/eco_object_type/=Deerdescription|Mmm, venison.
EcoObjectType/eco_object_type/=Foxesdisplay_name|Foxes
EcoObjectType/eco_object_type/=Foxesdescription|What does the fox say?
EcoObjectType/eco_object_type/=Wolvesdisplay_name|Wolves
EcoObjectType/eco_object_type/=Wolvesdescription|Bork
EcoObjectType/eco_object_type/=NativeShrubsdisplay_name|Native Shrubs
EcoObjectType/eco_object_type/=NativeShrubsdescription|Just a bush.
EcoObjectType/eco_object_type/=NativeGrassesdisplay_name|Native Grasses
EcoObjectType/eco_object_type/=NativeGrassesdescription|Lush and inviting.
EcoObjectType/eco_object_type/=CaneToadsdisplay_name|Cane Toads
EcoObjectType/eco_object_type/=CaneToadsdescription|CROAK.
EcoObjectType/eco_object_type/=Hipposdisplay_name|Hippos
EcoObjectType/eco_object_type/=Hipposdescription|Water cows.
EcoObjectType/eco_object_type/=Pigeondisplay_name|Pigeon
EcoObjectType/eco_object_type/=Pigeondescription|Coo. Eats trash
