EncounterAction/encounter_action/=LendLabordisplay_name|Lend Labor
EncounterAction/encounter_action/=LendLabordescription|Lend the strength of your robots to the physical labor needs of the target.
EncounterAction/encounter_action/=TechnicalExpertisedisplay_name|Technical Expertise
EncounterAction/encounter_action/=TechnicalExpertisedescription|Lend the technical experience of your advanced robots to helping the target solve an issue.
EncounterAction/encounter_action/=Rescuedisplay_name|Rescue
EncounterAction/encounter_action/=Rescuedescription|The target needs help; grab them and get out of there.
EncounterAction/encounter_action/=Healdisplay_name|Heal
EncounterAction/encounter_action/=Healdescription|Repair something broken, or heal a person or animal.
EncounterAction/encounter_action/=Intercededisplay_name|Intercede
EncounterAction/encounter_action/=Intercededescription|Mediate a dispute, do psychotherapy if you know it, or similar.
EncounterAction/encounter_action/=OverwhelmingForcedisplay_name|Overwhelming Force
EncounterAction/encounter_action/=OverwhelmingForcedescription|Use overwhelming violence to rapidly attack the enemy with maximum prejudice, with a high probability of collateral damage.
EncounterAction/encounter_action/=SurgicalStrikedisplay_name|Surgical Strike
EncounterAction/encounter_action/=SurgicalStrikedescription|Use skillfully-applied violence to rapidly and precisely attack the enemy, with no collateral damage.
EncounterAction/encounter_action/=TransportStrikedisplay_name|Transport Strike
EncounterAction/encounter_action/=TransportStrikedescription|Hit the target with an immediate attack from the nearby transport, and then allow for a further attack by other units while it is on cooldown.
EncounterAction/encounter_action/=PhysicalShielddisplay_name|Physical Shield
EncounterAction/encounter_action/=PhysicalShielddescription|Have your robots shield the target with anything, up to and including themselves, while returning fire as much as possible.
EncounterAction/encounter_action/=ElectronicCountermeasuresdisplay_name|Electronic Countermeasures
EncounterAction/encounter_action/=ElectronicCountermeasuresdescription|If a cyberattack is being launched against the target, defend them from the attack.
EncounterAction/encounter_action/=Nanoshielddisplay_name|Nanoshield
EncounterAction/encounter_action/=Nanoshielddescription|Deploys a limited regeneration nanoshield around the target, shielding it from harm up to a certain point.
EncounterAction/encounter_action/=Escortdisplay_name|Escort
EncounterAction/encounter_action/=Escortdescription|Go somewhere with the target, doing something to help them as you do.
EncounterAction/encounter_action/=HarassAndDistractdisplay_name|Harass And Distract
