EncounterType/encounter_type/=OustCEO_Orderlydisplay_name|Oust CEO
EncounterType/encounter_type/=OustCEO_Orderlydescription|The Board of Directors is ousting the CEO. The replacement has a proven track record of stability.
EncounterType/encounter_type/=OustCEO_Disorderlydescription|The Board of Directors is ousting the CEO. The replacement is known as a wildcard.
EncounterType/encounter_type/=AppeaseShareholders_RestructuringBoarddisplay_name|Restructuring Board of Directors
EncounterType/encounter_type/=AppeaseShareholders_RestructuringBoarddescription|The Board of Directors is restructuring the Board to appease dissatisfied shareholders.
EncounterType/encounter_type/=LimitedPartnershipdisplay_name|Limited Partnership
EncounterType/encounter_type/=LimitedPartnershipdescription|Two rival corporations are forming a limited partnership to their mutual advantage.
EncounterType/encounter_type/=SendCorporateMoledisplay_name|Send Corporate Mole
EncounterType/encounter_type/=SendCorporateMoledescription|Corporations routinely send their own agents to work for their rivals, popularizing the phrase 'whack a mole' among corporate HR.
EncounterType/encounter_type/=WhackAMoledisplay_name|Whack Corporate Mole
EncounterType/encounter_type/=WhackAMoledescription|This corporation has discovered the identity of moles that have been spying on behalf of rival corporations and is 'whacking' them.
EncounterType/encounter_type/=RetrieveMolesdisplay_name|Retrieve Corporate Moles
EncounterType/encounter_type/=RetrieveMolesdescription|This corporation is retrieving its Moles planted in rival's offices before they get 'whacked' and to collect the fruits of their spying labor.
EncounterType/encounter_type/=PayoffMolesdisplay_name|Payoff Corporate Moles
EncounterType/encounter_type/=PayoffMolesdescription|This corporation has discovered the identity of moles that have been spying on behalf of rival corporations. Instead of 'whacking' them, they have been converted into double agents.
EncounterType/encounter_type/=Layoffs_Laborersdisplay_name|Labor Layoffs
EncounterType/encounter_type/=Layoffs_Laborersdescription|This corporation is laying off dozens of Laborers, particularly those sympathetic to the Vigilante.
EncounterType/encounter_type/=Layoffs_WhiteCollardisplay_name|White Collar Layoffs
EncounterType/encounter_type/=Layoffs_WhiteCollardescription|This corporation is laying off dozens of White Collar workers, particularly those sympathetic to the Vigilante.
EncounterType/encounter_type/=HireLawFirm_CorporateInjunctiondisplay_name|File Injunction against Corporation
EncounterType/encounter_type/=HireLawFirm_CorporateInjunctiondescription|Corporations can hire a law firm to file an injunction against another corporation to cause them to stop doing things for a bit.
EncounterType/encounter_type/=HirePI_CorporateEspionagedisplay_name|Private Investigation against Corporation
EncounterType/encounter_type/=HirePI_CorporateEspionagedescription|Corporations can hire a P.I. to investigate a corporation to gain leverage for later.
EncounterType/encounter_type/=HirePMC_CorporateSabotagedisplay_name|Corporate Sponsored Sabotage
EncounterType/encounter_type/=HirePMC_CorporateSabotagedescription|Corporations can hire a PMC to sabotage a corporation to cause them to stop doing things for a bit.
EncounterType/encounter_type/=HirePMC_CorporateRaiddisplay_name|Corporate Sponsored Raid
EncounterType/encounter_type/=HirePMC_CorporateRaiddescription|Corporations can hire a PMC to raid a corporation to steal valuable assets.
EncounterType/encounter_type/=HirePMC_CorporateArsondisplay_name|Corporate Sponsored Arson
EncounterType/encounter_type/=HirePMC_CorporateArsondescription|Corporations can hire a PMC to burn a rival corporation's building if the heat escalates too far.
EncounterType/encounter_type/=HirePMC_CorporateDemolitiondisplay_name|Corporate Sponsored Demolition
EncounterType/encounter_type/=HirePMC_CorporateDemolitiondescription|Corporations can hire a PMC to demolish a rival corporation's building if the heat escalates too far.
EncounterType/encounter_type/=HireGang_CorporateSabotagedescription|Corporations can hire a gang to sabotage a corporation to cause them to stop doing things for a bit.
EncounterType/encounter_type/=HireGang_CorporateRaiddescription|Corporations can hire a gang to raid a corporation to steal valuable assets.
EncounterType/encounter_type/=HireGang_CorporateArsondescription|Corporations can hire a gang to demolish a rival corporation's building if the heat escalates too far.
EncounterType/encounter_type/=HireCriminalSyndicate_CorporateSabotagedescription|Corporations can hire a criminal syndicate to sabotage a corporation to cause them to stop doing things for a bit.
EncounterType/encounter_type/=HireCriminalSyndicate_CorporateRaiddescription|Corporations can hire a criminal syndicate to raid a corporation to steal valuable assets.
EncounterType/encounter_type/=HireCriminalSyndicate_CorporateArsondescription|Corporations can hire a criminal syndicate to demolish a rival corporation's building if the heat escalates too far.
EncounterType/encounter_type/=RecruitEyesandEarsdisplay_name|Recruit Eyes and Ears
EncounterType/encounter_type/=RecruitEyesandEarsdescription|Criminal Syndicates have eyes and ears all over the district. Some on the payroll, some out of fear.
EncounterType/encounter_type/=CollectTributedisplay_name|Collect Tribute
EncounterType/encounter_type/=CollectTributedescription|They call it a 'protection fee,' but it's just criminal extortion.
EncounterType/encounter_type/=GunSmugglingdisplay_name|Gun Smuggling
EncounterType/encounter_type/=GunSmugglingdescription|Criminal Syndicates can use their black market connections to acquire military-grade weaponry.
EncounterType/encounter_type/=IllegalGamblingdisplay_name|Illegal Gambling
EncounterType/encounter_type/=IllegalGamblingdescription|Criminal Syndicates raise exorbitant amounts of credits under the table in the backrooms of legitimate casinos.
EncounterType/encounter_type/=HumanSmugglingdisplay_name|Human Smuggling
EncounterType/encounter_type/=HumanSmugglingdescription|Criminal Syndicates can get people in or out of the city undetected, for a steep fee.
EncounterType/encounter_type/=HumanTraffickingdisplay_name|Human Trafficking
EncounterType/encounter_type/=HumanTraffickingdescription|Criminal Syndicates collect their debts, and if someone can't pay they are sold off to work off their debt.
EncounterType/encounter_type/=KidnappingOperationdisplay_name|Kidnapping Operation
EncounterType/encounter_type/=KidnappingOperationdescription|Criminal Syndicates will kidnap children or spouses of wealthy citizens and hold them for ransom.
EncounterType/encounter_type/=BribeCorporation_HeatReductiondisplay_name|Bribe Corporation
EncounterType/encounter_type/=BribeCorporation_HeatReductiondescription|Criminal Syndicates maintain their illegal operations by bribing their corporate connections.
EncounterType/encounter_type/=HireLawFirm_SyndicateInjunctiondisplay_name|File Injunction Against Syndicate
EncounterType/encounter_type/=HireLawFirm_SyndicateInjunctiondescription|Criminal Syndicates can hire a law firm to file an injunction against another syndicate to cause them to stop doing things for a bit.
EncounterType/encounter_type/=BribeLawFirm_HeatReductiondisplay_name|Bribe Law Firm
EncounterType/encounter_type/=BribeLawFirm_HeatReductiondescription|Criminal Syndicates aren't above using the legal system to solve its problems when it is more effective than the alternatives.
EncounterType/encounter_type/=RecruitfromGangdisplay_name|Recruit from Gang
EncounterType/encounter_type/=RecruitfromGangdescription|Criminal syndicates often recruit new henchmen from gang thugs.
EncounterType/encounter_type/=ReplaceGangLeadershipdisplay_name|Replace Gang Leadership
EncounterType/encounter_type/=ReplaceGangLeadershipdescription|Gangs that get cross the line with criminal syndicates will routinely need new leadership to replace sudden vacancies.
EncounterType/encounter_type/=ProxyTurfWardisplay_name|Proxy Turf War
EncounterType/encounter_type/=ProxyTurfWardescription|Criminal Syndicates prefer to let violent gangs fight their battles on their behalf. Gangs are happy to oblige, for credits and bragging rights.
EncounterType/encounter_type/=TurfWardisplay_name|Turf War
EncounterType/encounter_type/=TurfWardescription|When heat escalates between two criminal syndicates to this point, the streets run red. To the victor go the spoils: territory and respect.
EncounterType/encounter_type/=Vendettadisplay_name|Vendetta
EncounterType/encounter_type/=Vendettadescription|A criminal syndicate that has suffered repeated losses to a rival with declare vendetta, and kill as many rival leaders as they can.
EncounterType/encounter_type/=ConvertCitizens_Cultdisplay_name|Convert Citizens
EncounterType/encounter_type/=ConvertCitizens_Cultdescription|In good or difficult times, people are always looking for answers. And these people claim to have *all* the answers.
EncounterType/encounter_type/=ConvertWorshipers_Cultdisplay_name|Convert Worshipers
EncounterType/encounter_type/=ConvertWorshipers_Cultdescription|Worshippers of mainstream faiths may be open to a different sort of spirituality. But their religious leaders will be outraged.
