FactionSector/faction_sector/=Aeronauticdisplay_name|Aeronautic
FactionSector/faction_sector/=Aeronauticdescription|Airport management, plane and drone manufacture.
FactionSector/faction_sector/=Agriculturedisplay_name|Agriculture
FactionSector/faction_sector/=Agriculturedescription|Food production.
FactionSector/faction_sector/=Automotivedescription|Small vehicle construction.
FactionSector/faction_sector/=Defensedescription|Large-scale military operations and war machine development.
FactionSector/faction_sector/=Educationdescription|Schools, universities, daycare centers, and general study-related institutions.
FactionSector/faction_sector/=Energydescription|Renewable, nuclear, fossil fuel, and other kinds of energy-producing installations.
FactionSector/faction_sector/=Entertainmentdescription|Cinemas, theaters, gyms, sports, etc.
FactionSector/faction_sector/=FinancialServicesdisplay_name|Financial Services
FactionSector/faction_sector/=FinancialServicesdescription|Banks, lenders, investment firms, etc.
FactionSector/faction_sector/=Healthcaredisplay_name|Healthcare
FactionSector/faction_sector/=Healthcaredescription|Hospitals, hospices, pharmacies, etc.
FactionSector/faction_sector/=Hospitalitydisplay_name|Hospitality
FactionSector/faction_sector/=Hospitalitydescription|Hotels, restaurants, and tourism.
FactionSector/faction_sector/=Infrastructuredisplay_name|Infrastructure
FactionSector/faction_sector/=Infrastructuredescription|Construction and utilities.
FactionSector/faction_sector/=Manufacturingdisplay_name|Manufacturing
FactionSector/faction_sector/=Manufacturingdescription|Factories and production lines.
FactionSector/faction_sector/=Miningdescription|Extracting mineral or other forms of wealth from the earth.
FactionSector/faction_sector/=Retaildisplay_name|Retail
FactionSector/faction_sector/=Retaildescription|Stores, shops, and sales to the public.
FactionSector/faction_sector/=Securitydescription|Smaller-scale corporate protection, police action, and judiciary functions.
FactionSector/faction_sector/=Technologydisplay_name|Technology
FactionSector/faction_sector/=Technologydescription|Small electronics development, scientific research and development, and nanotech.
FactionSector/faction_sector/=Telecommunicationsdisplay_name|Telecommunications
FactionSector/faction_sector/=Telecommunicationsdescription|Radio and cell towers, transmitters, antennas, Net access, and satellites.
