FramerateType/framerateType/=Unlockeddisplay_name|Unlocked
FramerateType/framerateType/=144FPSdisplay_name|144 FPS
FramerateType/framerateType/=120FPSdisplay_name|120 FPS
FramerateType/framerateType/=100FPSdisplay_name|100 FPS
FramerateType/framerateType/=90FPSdisplay_name|90 FPS
FramerateType/framerateType/=75FPSdisplay_name|75 FPS
FramerateType/framerateType/=60FPSdisplay_name|60 FPS
FramerateType/framerateType/=Vsyncdisplay_name|Vsync
FramerateType/framerateType/=30FPSdisplay_name|30 FPS
FramerateType/framerateType/=HalfVsyncdisplay_name|Half Vsync
