InputAction/input_action/=BattleMode_AddToSelectioncategory|BattleMode
InputAction/input_action/=BattleMode_AddToSelectiondisplay_name|Add To Selection
InputAction/input_action/=BattleMode_AddToSelectiondescription|Hold key to add newly clicked or dragged units to your selection.
InputAction/input_action/=BattleMode_RemoveFromSelectiondisplay_name|Remove From Selection
InputAction/input_action/=BattleMode_RemoveFromSelectiondescription|Hold key to remove newly clicked or dragged units from your existing selection.
InputAction/input_action/=BattleMode_QueueSquadActiondisplay_name|Queue Squad Action
InputAction/input_action/=BattleMode_QueueSquadActiondescription|Hold key to queue orders instead of replacing the existing orders.
InputAction/input_action/=BattleMode_RangeDisplayAlldisplay_name|Show All Squad Ranges
InputAction/input_action/=BattleMode_RangeDisplayAlldescription|Hold key to draw the range of all squads.
InputAction/input_action/=ShowDetailedTooltipscategory|Critical
InputAction/input_action/=ShowDetailedTooltipsdisplay_name|Show Detailed Tooltips
InputAction/input_action/=ShowDetailedTooltipsdescription|Hold this key down to make tooltips more detailed.
InputAction/input_action/=HoldForMachineVisiondisplay_name|Hold For Machine Vision
InputAction/input_action/=HoldForMachineVisiondescription|Hold this key down to see things that may normally be hidden from view.  Useful for investigating an area, instead of having massive icon clutter all the time.
InputAction/input_action/=TogglePausedisplay_name|Pause
InputAction/input_action/=TogglePausedescription|Toggle the game between running and paused states.
InputAction/input_action/=TogglePauseAltdisplay_name|Pause (Alt)
InputAction/input_action/=IncreaseSimSpeeddisplay_name|Increase Sim Speed
InputAction/input_action/=IncreaseSimSpeeddescription|Increase the speed of the simulation so that things happen faster.
InputAction/input_action/=DecreaseSimSpeeddisplay_name|Decrease Sim Speed
InputAction/input_action/=DecreaseSimSpeeddescription|Decrease the speed of the simulation back to normal (cannot go below the default without pausing).
InputAction/input_action/=ChangeBy5display_name|Change By 5
InputAction/input_action/=ChangeBy5description|Hold key when clicking construction buttons to increase/decrease by 5 instead of 1.  Combine with the 'by 10' key to increase by 50.
InputAction/input_action/=ChangeBy10display_name|Change By 10
InputAction/input_action/=ChangeBy10description|Hold key when clicking construction buttons to increase/decrease by 10 instead of 1.  Combine with the 'by 5' key to increase by 50.
InputAction/input_action/=MovementSpeedUpcategory|Movement
InputAction/input_action/=MovementSpeedUpdisplay_name|Speed Up
InputAction/input_action/=MovementSpeedUpdescription|Make all movement faster.  Holding this and 'Slow Down' at the same time activates turbo, which is the fastest.
InputAction/input_action/=MovementSlowDowndisplay_name|Slow Down
InputAction/input_action/=MovementSlowDowndescription|Make all movement slower.  Holding this and 'Speed Up' at the same time activates turbo, which is the fastest.
InputAction/input_action/=MovementLeftdisplay_name|Move Left
InputAction/input_action/=MovementLeftdescription|Move left.
InputAction/input_action/=MovementLeftAltdisplay_name|Move Left (Alt)
InputAction/input_action/=MovementRightdisplay_name|Move Right
InputAction/input_action/=MovementRightdescription|Move right.
InputAction/input_action/=MovementRightAltdisplay_name|Move Right (Alt)
InputAction/input_action/=MovementForwarddisplay_name|Move Forward
InputAction/input_action/=MovementForwarddescription|Move forward.
InputAction/input_action/=MovementForwardAltdisplay_name|Move Forward (Alt)
InputAction/input_action/=MovementBackwarddisplay_name|Move Backward
InputAction/input_action/=MovementBackwarddescription|Move backward.
InputAction/input_action/=MovementBackwardAltdisplay_name|Move Backward (Alt)
InputAction/input_action/=MovementHigherdisplay_name|Move Higher
InputAction/input_action/=MovementHigherdescription|Move higher.
InputAction/input_action/=MovementHigherAltdisplay_name|Move Higher (Alt)
InputAction/input_action/=MovementLowerdisplay_name|Move Lower
InputAction/input_action/=MovementLowerAltdisplay_name|Move Lower (Alt)
InputAction/input_action/=MovementLowerAltdescription|Move lower.
InputAction/input_action/=CameraRotateTiltcategory|MainCamera
InputAction/input_action/=CameraRotateTiltdisplay_name|Camera 'Rotate Tilt' Mode
InputAction/input_action/=CameraRotateTiltdescription|While holding this button down, mouse movements rotate and tilt the camera view.  Not allowed in battle mode.
InputAction/input_action/=CameraRotateTiltAltdisplay_name|Camera 'Rotate Tilt' Mode (Alt)
InputAction/input_action/=CameraZoomInOutMousedisplay_name|Camera Zoom In/Out (Mouse)
InputAction/input_action/=CameraZoomInOutMousedescription|Zoom the camera in and out with the mouse wheel.
InputAction/input_action/=PhotoModeTogglecategory|PhotoModeCamera
InputAction/input_action/=PhotoModeToggledisplay_name|Photo Mode Toggle
InputAction/input_action/=PhotoModeToggledescription|Enter or exit photo mode.
InputAction/input_action/=PhotoModeToggleAltdisplay_name|Photo Mode Toggle (Alt)
InputAction/input_action/=PhotoModeManualFocusdisplay_name|Hold For Manual Focus
InputAction/input_action/=PhotoModeManualFocusdescription|Hold down and move the mouse to manually focus the camera.
InputAction/input_action/=PhotoModeToggleGuidesdisplay_name|Toggle Guides
InputAction/input_action/=PhotoModeToggleGuidesdescription|Toggle the visual photo mode guides on or off.
InputAction/input_action/=PhotoModeFocusGridCycledisplay_name|Cycle Through Grid Styles
InputAction/input_action/=PhotoModeFocusGridCycledescription|Cycle through the visual focus mode grid styles.
InputAction/input_action/=PhotoModeToggleOverlayVisibilitydisplay_name|Toggle Overlay Visibility
InputAction/input_action/=PhotoModeToggleOverlayVisibilitydescription|Toggle the photo mode overlay on or off.
InputAction/input_action/=PhotoModeCameraSpeedUpdisplay_name|Camera Speed Up
InputAction/input_action/=PhotoModeCameraSpeedUpdescription|Make all camera movements faster.
InputAction/input_action/=PhotoModeCameraSlowDowndisplay_name|Camera Slow Down
InputAction/input_action/=PhotoModeCameraSlowDowndescription|Make all phcamera movements slower.
InputAction/input_action/=PhotoModeCameraLeftdisplay_name|Camera Left
InputAction/input_action/=PhotoModeCameraLeftdescription|Pan the camera left.
InputAction/input_action/=PhotoModeCameraLeftAltdisplay_name|Camera Left (Alt)
InputAction/input_action/=PhotoModeCameraRightdisplay_name|Camera Right
InputAction/input_action/=PhotoModeCameraRightdescription|Pan the camera right.
InputAction/input_action/=PhotoModeCameraRightAltdisplay_name|Camera Right (Alt)
InputAction/input_action/=PhotoModeCameraForwarddisplay_name|Camera Forward
InputAction/input_action/=PhotoModeCameraForwarddescription|Pan the camera forward.
InputAction/input_action/=PhotoModeCameraForwardAltdisplay_name|Camera Forward (Alt)
InputAction/input_action/=PhotoModeCameraBackwarddisplay_name|Camera Backward
InputAction/input_action/=PhotoModeCameraBackwarddescription|Pan the camera backward.
InputAction/input_action/=PhotoModeCameraBackwardAltdisplay_name|Camera Backward (Alt)
InputAction/input_action/=PhotoModeCameraUpdisplay_name|Camera Up
InputAction/input_action/=PhotoModeCameraUpdescription|Pan the camera upwards.
InputAction/input_action/=PhotoModeCameraDowndisplay_name|Camera Down
InputAction/input_action/=PhotoModeCameraDowndescription|Pan the camera downwards.
InputAction/input_action/=PhotoModeOpenSettingsdisplay_name|Photo Mode Exit
InputAction/input_action/=PhotoModeOpenSettingsdescription|Open the settings for photo mode.
InputAction/input_action/=Inventorycategory|UIShortcuts
InputAction/input_action/=Inventorydisplay_name|Inventory
InputAction/input_action/=Inventorydescription|Toggle the in-game inventory.
InputAction/input_action/=BuildModedescription|Toggle build mode (to construct machine lairs).
InputAction/input_action/=BattleModedisplay_name|Battle Mode
InputAction/input_action/=BattleModedescription|Toggle battle mode (to plan or oversee battles).
InputAction/input_action/=ArmyDesigndisplay_name|Army Design
InputAction/input_action/=ArmyDesigndescription|Toggle the army design window (to construct what kind of standing army you wish to have available).
InputAction/input_action/=NeuroNetPoliciesdisplay_name|NeuroNet Policies
InputAction/input_action/=NeuroNetPoliciesdescription|Toggle the NeuroNet policy window (to chose what kind of NeuroNet service you wish to run).
InputAction/input_action/=TechTreesdisplay_name|Tech Trees
InputAction/input_action/=TechTreesdescription|Toggle the menu of tech trees.
InputAction/input_action/=Investmentsdisplay_name|Investments
InputAction/input_action/=Investmentsdescription|This button toggles a list of all active investments that you are currently involved in.
InputAction/input_action/=SaveGamedisplay_name|Save Game
InputAction/input_action/=SaveGamedescription|Open the save game dialog.
InputAction/input_action/=ShowPerformanceStatsdisplay_name|Show Performance Stats
InputAction/input_action/=ShowPerformanceStatsdescription|Show the performance stats window.
InputAction/input_action/=OpenSystemMenudisplay_name|Open System Menu
InputAction/input_action/=OpenSystemMenudescription|This button opens the menu from which you can edit your settings, quit, etc.  It also acts as a cancel button on a lot of screens.
InputAction/input_action/=Returncategory|Hidden
InputAction/input_action/=Returndisplay_name|Enter Key
InputAction/input_action/=Returndescription|Determines which key functions as the Enter/Return key in the menus.
InputAction/input_action/=Tabdisplay_name|Tab
InputAction/input_action/=Tabdescription|This button shifts the focus to the next textbox when there are multiple textboxes visible.
InputAction/input_action/=ShiftTabdisplay_name|Shift Tab
InputAction/input_action/=ShiftTabdescription|This button shifts the focus to the previous textbox when there are multiple textboxes visible.
InputAction/input_action/=Debug_ReloadSelectXmlDatacategory|Debug
InputAction/input_action/=Debug_ReloadSelectXmlDatadisplay_name|Reload Select Xml Data
InputAction/input_action/=Debug_ReloadSelectXmlDatadescription|Reload certain parts of the xml, mostly for some debug views.
InputAction/input_action/=Debug_CycleAllMachineLairVisibleStylesdisplay_name|Cycle All Visible Machine Lair Styles
InputAction/input_action/=Debug_CycleAllMachineLairVisibleStylesdescription|Cycle through all the specific machine lair styles on each building, to make assigning them easier.
InputAction/input_action/=DumpAllDatadisplay_name|Dump All Data
InputAction/input_action/=DumpAllDatadescription|This does a full memory dump of the game to disk, useful for hunting memory leaks.
InputAction/input_action/=AbortAllThreadsdescription|This does a full abort of all threads, for purposes of finding deadlocks or similar.
