MachineGood/machine_good/=BasicEyedisplay_name|Basic Augmented Eye
MachineGood/machine_good/=BasicEye_Backdoordisplay_name|Basic Backdoor Augmented Eye
MachineGood/machine_good/=AdvancedEyedisplay_name|Advanced Augmented Eye
MachineGood/machine_good/=AdvancedEye_Backdoordisplay_name|Advanced Backdoor Augmented Eye
MachineGood/machine_good/=BasicLegsdisplay_name|Basic Augmented Legs
MachineGood/machine_good/=BasicLegs_Backdoordisplay_name|Basic Backdoor Augmented Legs
MachineGood/machine_good/=AdvancedLegsdisplay_name|Advanced Augmented Legs
MachineGood/machine_good/=BasicArmsdisplay_name|Basic Augmented Arms
MachineGood/machine_good/=AdvancedArmsdisplay_name|Advanced Augmented Arms
MachineGood/machine_good/=AdrenalineBoosterdisplay_name|Adrenaline Booster
MachineGood/machine_good/=AnesthesiaReleaserdisplay_name|Anesthesia Releaser
MachineGood/machine_good/=SerotoninStabilizerdisplay_name|Serotonin Stabilizer
MachineGood/machine_good/=DopamineStabilizerdisplay_name|Dopamine Stabilizer
MachineGood/machine_good/=MilitaryHUDdisplay_name|Military HUD
MachineGood/machine_good/=VolatileDenturesdisplay_name|Volatile Dentures
MachineGood/machine_good/=Heartstopperdisplay_name|Heartstopper
MachineGood/machine_good/=GPSChipdisplay_name|GPS Chip
MachineGood/machine_good/=GPSChip_Backdoordisplay_name|GPSChip
MachineGood/machine_good/=AIModuledisplay_name|AI Module
MachineGood/machine_good/=AIModuledescription|Sophisticated AI operating system with universal applications. Safeguarded against reverse-engineering.
MachineGood/machine_good/=Terraformer_Cultivatordisplay_name|Cultivator Terraformer
MachineGood/machine_good/=Terraformer_Cultivatordescription|Specialized mechs designed to terraform worlds suitable for human habitation. This variant conditions the atmosphere and cultivates the soil to support life.
MachineGood/machine_good/=Terraformer_Seederdisplay_name|Seeder Terraformer
MachineGood/machine_good/=Terraformer_Seederdescription|Specialized mechs designed to terraform worlds suitable for human habitation. This variant is dedicated to the proliferation of flora and fauna.
MachineGood/machine_good/=AgroBotdisplay_name|AgroBot
MachineGood/machine_good/=AgroBotdescription|Part mech, part farm equipment, AgroBots are of tremendous value to terraformed worlds.
MachineGood/machine_good/=NanoAntibioticdisplay_name|Nano-Antibiotic
MachineGood/machine_good/=NanoAntibioticdescription|Nanobots delivered to the bloodstream that neutralize even the most resistant bacteria.
MachineGood/machine_good/=NanoAntiviraldisplay_name|Nano-Antiviral
MachineGood/machine_good/=NanoAntiviraldescription|Nanobots delivered to the bloodstream that neutralize even the most resistant viruses.
MachineGood/machine_good/=NanoAntiFungaldisplay_name|Nano-AntiFungal
MachineGood/machine_good/=NanoAntiFungaldescription|Nanobots delivered to the bloodstream that neutralize even the most resistant fungal infections.
