MachineLairType/machine_lair_type/=Ownershipdisplay_name|Ownership
MachineLairType/machine_lair_type/=Ownershipdescription|We have bought this building with one of our shell companies and own it outright.
MachineLairType/machine_lair_type/=DeploymentHubdisplay_name|Deployment Hub
MachineLairType/machine_lair_type/=DeploymentHubdescription|Used for drop pods and drop ships, to get combat units into position and defend other machine lairs within proximity.
MachineLairType/machine_lair_type/=Factorydescription|This building is partly taken over by a hidden factory within itself.
MachineLairType/machine_lair_type/=MindFarmdisplay_name|Mind Farm
MachineLairType/machine_lair_type/=MindFarmdescription|This building is partly taken over by racks and racks of unconcious humans whose minds are being used as a neural net for our own purposes.
MachineLairType/machine_lair_type/=Biolabdisplay_name|Biolab
MachineLairType/machine_lair_type/=Biolabdescription|This building is partly taken over by a biolab that can do a variety of things.
MachineLairType/machine_lair_type/=Harvesterdisplay_name|Harvester
MachineLairType/machine_lair_type/=Harvesterdescription|This building is partly taken over by a facility from which robotic drones harvest from nearby buildings in an automated fashion to gather resources from unsuspecting humans.
MachineLairType/machine_lair_type/=ControlTowerdisplay_name|Control Tower
MachineLairType/machine_lair_type/=ControlTowerdescription|This building has a massive machine brain in it that helps us coordinate activities throughout the district.
