MachineLairWorkType/machine_lair_work_type/=Hydroponicsdisplay_name|Hydroponics
MachineLairWorkType/machine_lair_work_type/=Hydroponicsdescription|This slot generates hydroponically grown resources automatically.
MachineLairWorkType/machine_lair_work_type/=ProteinVatsdisplay_name|Protein Vats
MachineLairWorkType/machine_lair_work_type/=ProteinVatsdescription|This slot generates vat meat grown resources automatically.
MachineLairWorkType/machine_lair_work_type/=Firebugdisplay_name|Firebug
MachineLairWorkType/machine_lair_work_type/=Firebugdescription|This slot sends out drones to add FireHazard to nearby buildings. Intended as a source of chaos in the community. Will not target player buildings.

Very suspicious though!
MachineLairWorkType/machine_lair_work_type/=Constructordisplay_name|Constructor
MachineLairWorkType/machine_lair_work_type/=Constructordescription|This slot generates Constructed goods for the player.
MachineLairWorkType/machine_lair_work_type/=Recyclerdisplay_name|Recycler
MachineLairWorkType/machine_lair_work_type/=Recyclerdescription|This slot processes hazardous resources to make them safe.
MachineLairWorkType/machine_lair_work_type/=GatherUsableItemsdisplay_name|Gather Usable Items
MachineLairWorkType/machine_lair_work_type/=GatherUsableItemsdescription|Sends out drones to steal items that are directly useful from nearby buildings.

Extremely suspicious though!
MachineLairWorkType/machine_lair_work_type/=GatherHostagesdisplay_name|Gather Hostages
MachineLairWorkType/machine_lair_work_type/=GatherHostagesdescription|Sends out drones to kidnap humans from nearby buildings.

Extremely suspicious though!
MachineLairWorkType/machine_lair_work_type/=GatherRawResourcesdisplay_name|Gather Raw Resources
MachineLairWorkType/machine_lair_work_type/=GatherRawResourcesdescription|Sends out drones to steal raw/basic resources from nearby buildings.

Extremely suspicious though!
MachineLairWorkType/machine_lair_work_type/=GatherRecycleablesdisplay_name|Gather Recycleables
MachineLairWorkType/machine_lair_work_type/=GatherRecycleablesdescription|Sends out drones to steal any resource that can be converted to raw resources from nearby buildings.

Extremely suspicious though!
MachineLairWorkType/machine_lair_work_type/=ComputingPowerdisplay_name|Computing Power
MachineLairWorkType/machine_lair_work_type/=ComputingPowerdescription|This slot generates Computing Power for you, powered by unconscious hostages.
