MachineMaterialType/machine_material/=Nanoparticlesdisplay_name|Nanoparticles
MachineMaterialType/machine_material/=Nanoparticlesdescription|Nanoparticles are the cornerstone of everything we build.
MachineMaterialType/machine_material/=MixedMetalsCommondisplay_name|Mixed Metals (Common)
MachineMaterialType/machine_material/=MixedMetalsCommondescription|Basic mixed metals for building things.
MachineMaterialType/machine_material/=MixedMetalsRaredisplay_name|Mixed Metals (Rare)
MachineMaterialType/machine_material/=MixedMetalsRaredescription|Much more rare mixed metals for building things.
MachineMaterialType/machine_material/=MixedFuelsdisplay_name|Mixed Fuels
MachineMaterialType/machine_material/=MixedFuelsdescription|General reagents and gasses that can be used to make things go.
MachineMaterialType/machine_material/=Biomassdisplay_name|Biomass
MachineMaterialType/machine_material/=Biomassdescription|Proteins and other biological ichor.
MachineMaterialType/machine_material/=Chemicalsdisplay_name|Chemicals
MachineMaterialType/machine_material/=Chemicalsdescription|Assorted chemical compounds.
