NPCRole/npc_role/=CEOdisplay_name|CEO
NPCRole/npc_role/=CEOdescription|The head of a large company.
NPCRole/npc_role/=CFOdisplay_name|CFO
NPCRole/npc_role/=CFOdescription|Chief Financial Officer of a large company. Holds many secrets, particularly financial ones.
NPCRole/npc_role/=CSOdisplay_name|CSO
NPCRole/npc_role/=CSOdescription|Chief Security Officer of a large company. Holds many secrets, particularly ones about building security for this company.
NPCRole/npc_role/=CHROdisplay_name|CHRO
NPCRole/npc_role/=CHROdescription|Chief Human Resources Officer of a large company. Holds many secrets, particularly ones about employees for this company.
NPCRole/npc_role/=BusinessOwnerdisplay_name|Business Owner
NPCRole/npc_role/=BusinessOwnerdescription|The head of a smaller company.
NPCRole/npc_role/=RebelLeaderdisplay_name|Rebel Leader
NPCRole/npc_role/=RebelLeaderdescription|Leader of a rebel group.
NPCRole/npc_role/=ReligiousLeaderdisplay_name|Religious Leader
NPCRole/npc_role/=ReligiousLeaderdescription|Spiritual leader of a state approved religion.
NPCRole/npc_role/=CultLeaderdisplay_name|Cult Leader
NPCRole/npc_role/=CultLeaderdescription|Chraismatic leader of a cult.
NPCRole/npc_role/=ParamilitaryLeaderdisplay_name|Paramilitary Leader
NPCRole/npc_role/=ParamilitaryLeaderdescription|Leader of a paramilitary organization.
NPCRole/npc_role/=Bookkeeperdisplay_name|Bookkeeper
NPCRole/npc_role/=Bookkeeperdescription|Financial manager for a smaller company.
NPCRole/npc_role/=FireChiefdisplay_name|FireChief
NPCRole/npc_role/=FireChiefdescription|Commanding Officer at a fire department.
NPCRole/npc_role/=FireCommissionerdisplay_name|Fire Commissioner
NPCRole/npc_role/=FireCommissionerdescription|Overseer of the fire civil service corp.
NPCRole/npc_role/=WasteSanitationManagerdisplay_name|Waste Maintenance Manager
NPCRole/npc_role/=WasteSanitationManagerdescription|Oversees sanitation maintenance at a waste treatment facility.
NPCRole/npc_role/=WasteTreatmentDirectordisplay_name|Waste Treatment Director
NPCRole/npc_role/=WasteTreatmentDirectordescription|Chief overseer of waste treatment operations for all waste treatment facilities.
NPCRole/npc_role/=WaterPurificationManagerdisplay_name|Water Purification Manager
NPCRole/npc_role/=WaterPurificationManagerdescription|Oversees maintenance at a water purification facility.
NPCRole/npc_role/=WaterPurificationDirectordisplay_name|Water Purification Director
NPCRole/npc_role/=WaterPurificationDirectordescription|Chief overseer of water purification operations for all water purification facilities.
NPCRole/npc_role/=PowerplantManagerdisplay_name|Powerplant Manager
NPCRole/npc_role/=PowerplantManagerdescription|General manager for a powerplant.
NPCRole/npc_role/=ResearchandDevelopmentDirectordisplay_name|R and D Director
NPCRole/npc_role/=ResearchandDevelopmentDirectordescription|General manager for a science lab.
NPCRole/npc_role/=CelebrityEntertainerdisplay_name|Celebrity Entertainer
NPCRole/npc_role/=CelebrityEntertainerdescription|Widely famous entertainer, respected by all classes of society.
