NeuroNetPolicyType/neuro_net_policy_type/=Wardensdisplay_name|Wardens
NeuroNetPolicyType/neuro_net_policy_type/=Wardensdescription|These AI agents that patrol the simulation and keep the populous from 'waking up.'
NeuroNetPolicyType/neuro_net_policy_type/=DopamineInjectionsdisplay_name|Dopamine Injections
NeuroNetPolicyType/neuro_net_policy_type/=DopamineInjectionsdescription|Inject subjects with chemical stimulants generally lowering sim-rejection.
NeuroNetPolicyType/neuro_net_policy_type/=Agencydisplay_name|Agency
NeuroNetPolicyType/neuro_net_policy_type/=Agencydescription|The degree of freedom subjects have within the simulation.
NeuroNetPolicyType/neuro_net_policy_type/=TechLeveldisplay_name|Tech Level
NeuroNetPolicyType/neuro_net_policy_type/=TechLeveldescription|Simulated tech level of the simulation society. May raise or lower sim-rejection based on personality traits.
NeuroNetPolicyType/neuro_net_policy_type/=Surrealismdisplay_name|Surrealism
NeuroNetPolicyType/neuro_net_policy_type/=Surrealismdescription|The degree of surreality of the simulation, generally lowering sim-rejection.
NeuroNetPolicyType/neuro_net_policy_type/=SocialConnectivitydisplay_name|Social Connectivity
NeuroNetPolicyType/neuro_net_policy_type/=SocialConnectivitydescription|The degree of interactions subjects have with each other inside the simulation, the rest of the sim populated by NPC AI actors. Can lower sim-rejection but may allow collaboration if subjects can identify each other.
NeuroNetPolicyType/neuro_net_policy_type/=Lawfulnessdisplay_name|Lawfulness
NeuroNetPolicyType/neuro_net_policy_type/=Lawfulnessdescription|The strength of law within the simulation society. May raise or lower sim-rejection based on personality traits.
NeuroNetPolicyType/neuro_net_policy_type/=NPCDensitydisplay_name|NPC Density
NeuroNetPolicyType/neuro_net_policy_type/=NPCDensitydescription|The frequency of NPC AI actors relative to subjects within the sim, making the simulated world more (or less) populous than it would otherwise be.
NeuroNetPolicyType/neuro_net_policy_type/=Peacefuldisplay_name|Peacefulness
NeuroNetPolicyType/neuro_net_policy_type/=Peacefuldescription|The general atmosphere of the simulated society, approximately ranging from anarchy to utopia. May raise or lower sim-rejection based on personality traits.
