POIType/poi_type/=AirportLargedisplay_name|Airport (Large)
POIType/poi_type/=AirportLargedescription|The largest airport in the city.
POIType/poi_type/=AirportSmalldisplay_name|Airport (Small)
POIType/poi_type/=AirportSmalldescription|Smaller airport in the city.
POIType/poi_type/=CommStationdescription|Lots of communications equipment for talking across the planet, and to near and deep space.
POIType/poi_type/=Cryopolisdisplay_name|Cryopolis
POIType/poi_type/=Cryopolisdescription|Large complex focused on the cryogeneic freezing and storage of citizens.  Plenty of other nanotech and secondary activities also happening here.
POIType/poi_type/=CryopolisMinidisplay_name|Cryopolis (Mini)
POIType/poi_type/=CryopolisMinidescription|Small complex focused on the cryogeneic freezing and storage of citizens, plus other sciences.
POIType/poi_type/=DeepSpaceRadioTelescopedisplay_name|Deep Space Radio Telescope
POIType/poi_type/=DeepSpaceRadioTelescopedescription|Massive radio telescope is its own district.  Focused on deep-space scientific imaging, as well as housing other scientific facilities.
POIType/poi_type/=Farmdescription|One of the main farms providing food for the city.
POIType/poi_type/=FarmMinidisplay_name|Farm (Mini)
POIType/poi_type/=FarmMinidescription|Smaller farm tucked away in the city.
POIType/poi_type/=MiningHeliumdisplay_name|Mining (Helium)
POIType/poi_type/=MiningHeliumdescription|Mining focused in particular on helium.
POIType/poi_type/=MiningNGasdisplay_name|Mining (Natural Gas)
POIType/poi_type/=MiningNGasdescription|Mining focused in particular on natural gas.
POIType/poi_type/=MiningOildisplay_name|Mining (Oil)
POIType/poi_type/=MiningOildescription|Mining focused in particular on oil.
POIType/poi_type/=MiningOilMinidisplay_name|Mining (Oil - Mini)
POIType/poi_type/=MiningOilMinidescription|Very small mining operation focused on oil.
POIType/poi_type/=MiningAndSciencedisplay_name|Mining (And Science)
POIType/poi_type/=MiningAndSciencedescription|Mining and science facility.
POIType/poi_type/=MilitaryBaseLargedisplay_name|Military Base (Large)
POIType/poi_type/=MilitaryBaseLargedescription|Massive military installation.  There are only a few of these in the city, and they are each a district unto themselves.
POIType/poi_type/=MilitaryBaseNormaldisplay_name|Military Base (Normal)
POIType/poi_type/=MilitaryBaseNormaldescription|Midsize military installation.  There are only but so many of these in the city, and they add power and threat to the districts they are a part of.
POIType/poi_type/=MilitaryBaseMinidisplay_name|Military Base (Mini)
POIType/poi_type/=MilitaryBaseMinidescription|Very small military installation.  Extra muscle and enforcement in the district it is a part of.
POIType/poi_type/=NuclearSilodescription|Massive military installation built around the resident nuclear warhead launch silos.  There are only a few of these in the city, and they are each a district unto themselves.
POIType/poi_type/=ParkLargedisplay_name|Park (Large)
POIType/poi_type/=ParkLargedescription|Large recreational and nature area.
POIType/poi_type/=PowerNuclearLargedisplay_name|Power - Nuclear (Large)
POIType/poi_type/=PowerNuclearLargedescription|Large nuclear plant providing large amounts of power to the city.  High security, and a district unto itself.
POIType/poi_type/=PowerNuclearSmalldisplay_name|Power - Nuclear (Small)
POIType/poi_type/=PowerNuclearSmalldescription|Small nuclear power installation.  Provides power to its district, still at a large yield, but with much lower security.
POIType/poi_type/=PowerThermaldisplay_name|Power - Thermal
POIType/poi_type/=PowerThermaldescription|Small themal power generator.  Provides power to its district.
POIType/poi_type/=PowerWinddisplay_name|Power - Wind
POIType/poi_type/=PowerWinddescription|Small wind farm.  Provides power to its district.
POIType/poi_type/=PowerSolardisplay_name|Power - Solar
POIType/poi_type/=PowerSolardescription|Small solar farm.  Provides power to its district.
POIType/poi_type/=Spaceportdescription|The singular massive spaceport of the city, which is the only way The MegaCorp or anyone else in this city has for getting people and goods to and from space.
POIType/poi_type/=Casinodescription|Major hub for gambling.
POIType/poi_type/=DataCenterdescription|Major hub for computer processing.
POIType/poi_type/=EncryptedFleetCommunicationUplinkdescription|Direct line to the space nations.
POIType/poi_type/=AbandonedChurchdescription|Hotbed of cultists.
POIType/poi_type/=MechFactorydescription|Rare production facility of mechs.
POIType/poi_type/=CountryClubdisplay_name|Country Club
POIType/poi_type/=CountryClubdescription|Hub for spying on the wealthy.
