PersonTrait/person_trait/=Introvertdisplay_name|Introvert
PersonTrait/person_trait/=Introvertdescription|Keeps to themselves.
PersonTrait/person_trait/=Extrovertdisplay_name|Extrovert
PersonTrait/person_trait/=Extrovertdescription|Party-goers.
PersonTrait/person_trait/=Aggressivedisplay_name|Aggressive
PersonTrait/person_trait/=Aggressivedescription|Might makes right.
PersonTrait/person_trait/=Diplomaticdisplay_name|Diplomatic
PersonTrait/person_trait/=Diplomaticdescription|The pen is mightier than the sword.
PersonTrait/person_trait/=Lazydescription|Work is hard.
PersonTrait/person_trait/=Productivedisplay_name|Productive
PersonTrait/person_trait/=Productivedescription|Work is life.
PersonTrait/person_trait/=Intelligentdescription|'I know everything about everything!'
PersonTrait/person_trait/=Uneducateddescription|School is for chumps
