Setting/setting/=EnableSounddisplay_name|Sound
Setting/setting/=EnableSounddescription|If disabled, no sound effects play.
Setting/setting/=EnableMusicdescription|If disabled, no music plays.
Setting/setting/=EnableVoicedisplay_name|Voice
Setting/setting/=EnableVoicedescription|If disabled, no spoken voice audio plays.
Setting/setting/=MasterVolumedisplay_name|Master Volume
Setting/setting/=MasterVolumedescription|Volume of all sound in general, music and sound effects and so on.  Adjusting this keeps the relative volumes of sub-channels as they are.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=MusicVolumedisplay_name|Music Volume
Setting/setting/=MusicVolumedescription|Volume of the music, relative to all non-music sound.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=SoundVolumedisplay_name|Sound Volume
Setting/setting/=SoundVolumedescription|Volume of all sound effects in general, relative to the music.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=WorldSoundVolumedisplay_name|World Sound Volume
Setting/setting/=WorldSoundVolumedescription|Volume of the sounds of the noises of the world, relative to the interface and music/ambience.  Adjusting this keeps the relative volumes of sub-channels as they are.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=BigSoundsVolumedisplay_name|Big Sounds Volume
Setting/setting/=BigSoundsVolumedescription|Large sudden sounds, which cause the music or ambience to duck a bit.  Notable explosions, death cries, sounds of ominous intent, etc.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=MassiveSoundsVolumedisplay_name|Massive Sounds Volume
Setting/setting/=MassiveSoundsVolumedescription|Truly giant sounds, which quiet almost everything else and arrest your attention on whatever is going on here.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=MagicVolumedisplay_name|Magic Volume
Setting/setting/=MagicVolumedescription|Volume of magic spells, primarily during combat but also outside of combat when relevant.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=PhysicalWeaponsVolumedisplay_name|Physical Weapons Volume
Setting/setting/=PhysicalWeaponsVolumedescription|Volume of the sound of physical weapon strikes (including creature physical attacks).  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=ConstructionVolumedisplay_name|Construction Volume
Setting/setting/=ConstructionVolumedescription|Volume of the sounds of construction, at your bases or otherwise.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=EnvironmentEffectsVolumedisplay_name|Environment Effects Volume
Setting/setting/=EnvironmentEffectsVolumedescription|Volume of environmental sounds with a specific source (water falling, fires crackling, etc).  Does not include general ambience like wind rustling in trees.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=CharacterFoleyVolumedisplay_name|Character Foley Volume
Setting/setting/=CharacterFoleyVolumedescription|Volume of sounds made by characters (footsteps, armor jingle, etc).  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=OtherWorldSoundsVolumedisplay_name|Other World Sounds Volume
Setting/setting/=OtherWorldSoundsVolumedescription|Volume of other miscellaneous sounds that happen in the world and don't fit into another category.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=VoiceAndInterfaceMasterVolumedisplay_name|Voice And Interface Parent Volume
Setting/setting/=VoiceAndInterfaceMasterVolumedescription|Volume of all non-world sound effects in general, relative to the world sound effects.  Adjusting this keeps the relative volumes of sub-channels as they are.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=InterfaceVolumedisplay_name|Interface Volume
Setting/setting/=InterfaceVolumedescription|Volume of click sound effects and other interface feedback.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=VoiceRoutineVolumedisplay_name|Voice Volume (Routine)
Setting/setting/=VoiceRoutineVolumedescription|Volume of normal voices of characters.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=VoiceLargeVolumedisplay_name|Voice Volume (Large)
Setting/setting/=VoiceLargeVolumedescription|Volume of voices that are large and extra intimidating.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.
Setting/setting/=AlertVolumedisplay_name|Alert Volume
Setting/setting/=AlertVolumedescription|Volume of voice and nonverbal alerts of high importance.  Can range from 0 to 200.  This is relative to its starting value in the mixer, so the default is always 100.  Default is louder than average.
Setting/setting/=Camera_lastDepthOfFieldEnableddisplay_name|Main Camera: Depth Of Field Enabled
Setting/setting/=Camera_lastDepthOfFieldEnableddescription|If you dislike the depth of field visual effect during normal gameplay, you can turn it off.
Setting/setting/=Camera_depthOfFieldAutofocusDistanceShiftdisplay_name|Main DOF: Autofocus Distance Offset
Setting/setting/=Camera_depthOfFieldAutofocusDistanceShiftdescription|If you would like for the autofocus of the depth of field to skew higher or lower, then you can adjust this positive or negative.  The default of 0 means no offset.
Setting/setting/=Camera_depthOfFieldDownsamplingdisplay_name|Main DOF: Downsampling
Setting/setting/=Camera_depthOfFieldDownsamplingdescription|With downsampling above 1, you'll get better performance, but progressively worse image quality (mainly edges not lining up correctly).  With a downsampling of 1, no downsampling is done.
			 
Defaults to 2 on the main camera.
Setting/setting/=Camera_depthOfFieldMaxSamplesdisplay_name|Main DOF: Max Samples
Setting/setting/=Camera_depthOfFieldMaxSamplesdescription|More samples leads to a higher quality visual effect, but at the cost of performance.
			 
Defaults to 4 on the main camera.
Setting/setting/=Camera_depthOfFieldImageSensorHeightdisplay_name|Main DOF: Image Sensor Height
Setting/setting/=Camera_depthOfFieldImageSensorHeightdescription|How high is the simulated image sensor?  No impact on performance, but impacts how the camera effect behaves.  Default is 24.
Setting/setting/=Camera_depthOfFieldFStopdisplay_name|Main DOF: F-Stop
Setting/setting/=Camera_depthOfFieldFStopdescription|What is the f-stop of the simulated camera lens?  The f-stop of camera is fractional, so this is the denominator of that fraction.  If you choose 2.6, then that would be an f-stop of 1/2.6 for photographers.
			 
The smaller the number, the shallower the depth of field (the smaller the amount of the image that will be in focus, and the more dramatic the background focus), while the larger the number, the wider the focus.

In the normal camera mode, we use a default of 7, which is not on the wider end, making blur far less dramatic than in photo mode.
Setting/setting/=Camera_depthOfFieldFocalLengthRealdisplay_name|Main DOF: Focal Length
Setting/setting/=Camera_depthOfFieldFocalLengthRealdescription|What is the focal length of the simulated camera lens?  The focal length of the lens is the distance between the lens and the image sensor when the subject is in focus, in millimeters.
			 
This affects the magnification of the scene, for depth of field purposes.  The default of 24mm keeps most of the image crisp in the regular mode, but also fairly flat.
Setting/setting/=Camera_depthOfFieldForegroundDistancedisplay_name|Main DOF: Foreground Distance
Setting/setting/=Camera_depthOfFieldForegroundDistancedescription|This has no analogue in physical cameras.  This specifies how close to the camera foreground blur should kick in.  The default of 0.25 leads to a 'small world' visual effect, since we are simulating everything at 1/10th normal scale.
			 
To get something that seems more like normal scale, reduce this number, potentially as low as 0.025.
Setting/setting/=Camera_depthOfFieldBokehThresholddisplay_name|Main DOF: Bokeh Threshold
Setting/setting/=Camera_depthOfFieldBokehThresholddescription|At what level of light do we start seeing bokeh, or visual artifacts from out of focus elements?  The default of 1 will only show it for very bright objects, mostly lights.
Setting/setting/=Camera_depthOfFieldBokehIntensitydisplay_name|Main DOF: Bokeh Intensity
Setting/setting/=Camera_depthOfFieldBokehIntensitydescription|How visually intense are the bokeh artifacts?  The default of 2 is likely fine unless you want really specific visual effects.
Setting/setting/=PhotoMode_depthOfFieldAutofocusDistanceShiftdisplay_name|Photo Mode DOF: Autofocus Distance Offset
Setting/setting/=PhotoMode_depthOfFieldDownsamplingdisplay_name|Photo Mode DOF: Downsampling
Setting/setting/=PhotoMode_depthOfFieldDownsamplingdescription|With downsampling above 1, you'll get better performance, but progressively worse image quality (mainly edges not lining up correctly).  With a downsampling of 1, no downsampling is done.
			 
Defaults to 1 on the photo mode camera.
Setting/setting/=PhotoMode_depthOfFieldMaxSamplesdisplay_name|Photo Mode DOF: Max Samples
Setting/setting/=PhotoMode_depthOfFieldMaxSamplesdescription|More samples leads to a higher quality visual effect, but at the cost of performance.
			 
Defaults to 8 on the photo mode camera.
Setting/setting/=PhotoMode_depthOfFieldImageSensorHeightdisplay_name|Photo Mode DOF: Image Sensor Height
Setting/setting/=PhotoMode_depthOfFieldFStopdisplay_name|Photo Mode DOF: F-Stop
Setting/setting/=PhotoMode_depthOfFieldFStopdescription|What is the f-stop of the simulated camera lens?  The f-stop of camera is fractional, so this is the denominator of that fraction.  If you choose 2.6, then that would be an f-stop of 1/2.6 for photographers.
			 
The smaller the number, the shallower the depth of field (the smaller the amount of the image that will be in focus, and the more dramatic the background focus), while the larger the number, the wider the focus.

In the photo mode camera, we use a default of 2, which is on the narrow end of things.
Setting/setting/=PhotoMode_depthOfFieldFocalLengthRealdisplay_name|Photo Mode DOF: Focal Length
Setting/setting/=PhotoMode_depthOfFieldFocalLengthRealdescription|What is the focal length of the simulated camera lens?  The focal length of the lens is the distance between the lens and the image sensor when the subject is in focus, in millimeters.
			 
This affects the magnification of the scene, for depth of field purposes.  The default of 50mm is probably fine for most purposes.
Setting/setting/=PhotoMode_depthOfFieldForegroundDistancedisplay_name|Photo Mode DOF: Foreground Distance
Setting/setting/=PhotoMode_depthOfFieldBokehThresholddisplay_name|Photo Mode DOF: Bokeh Threshold
Setting/setting/=PhotoMode_depthOfFieldBokehThresholddescription|At what level of light do we start seeing bokeh, or visual artifacts from out of focus elements?  The default of 0.8 will show it for fairly bright objects, with brighter objects having a stronger effect.
			 
Turn this up to 1, or above, if you want a flatter blur.
Setting/setting/=PhotoMode_depthOfFieldBokehIntensitydisplay_name|Photo Mode DOF: Bokeh Intensity
Setting/setting/=Debug_ExportDataTablesAsLoadedAndReloadeddisplay_name|Export Data Tables As Loaded And Reloaded (Skip GamEntity)
