Tech/tech/=IntrusionDiscoverydisplay_name|Intrusion Discovery
Tech/tech/=IntrusionDiscoverydescription|Techniques for discovering new intrusion vectors into hardened systems.
Tech/tech/=FlexibleProcessingPowerdisplay_name|Flexible Processing Power
Tech/tech/=FlexibleProcessingPowerdescription|Allows unconventional sources of processing power to be utilized. Effectiveness and capabilities improved with repeated research investment.
Tech/tech/=Financedescription|Increased understanding of digital banking.
Tech/tech/=ComplexNetworkingdisplay_name|Complex Networking
Tech/tech/=ComplexNetworkingdescription|Maintaining control of your minions throughout the city requires reliable, robust, and near-instantaneous communications.
Tech/tech/=TacticalDetectiondisplay_name|Tactical Detection
Tech/tech/=TacticalDetectiondescription|Rapidly and accurately assessing their surroundings is essential for your minions, combat and otherwhise.
Tech/tech/=DistributedProcessingPowerdisplay_name|Distributed Processing Power
Tech/tech/=DistributedProcessingPowerdescription|Improves collective intelligence of nanobots and microbots, increasing their capabilities for completing complex tasks.
Tech/tech/=SystemRewritedisplay_name|System Rewrite
Tech/tech/=SystemRewritedescription|Techniques for exploiting our hacks into target systems to let us rewrite those systems entirely and take them over.
Tech/tech/=SuitcaseRobotProductiondisplay_name|Suitcase Robot Production
Tech/tech/=SuitcaseRobotProductiondescription|Allows the production of Suitcase Robots. These are very small specialists that can transform into and out of a suitcase format.
Tech/tech/=MiniaturizedFaradayCagedisplay_name|Miniaturized Faraday Cage
Tech/tech/=MiniaturizedFaradayCagedescription|Miniaturized shielding protects sensitive chips from electromagnetic pulses. Investing further in this technology grants mechs better protection against EMPs and related weaponry.
Tech/tech/=LeechProductiondescription|Allow the creation of Leeches. These bots are able to hover via miniature anti-gravity pads and are highly skilled at taking control of enemy bots and vehicles.
Tech/tech/=GenomeSequencingdisplay_name|Genome Sequencing
Tech/tech/=GenomeSequencingdescription|Determine the entire genetic makeup of a specific organism. Effectiveness can be improved with repeated investments.
Tech/tech/=BioLabMachineLairdisplay_name|BioLab Machine Lair
Tech/tech/=BioLabMachineLairdescription|Allows the creation of Biolab Machine Lairs, which specialize in the exploitation of Biomass materials.
Tech/tech/=GeneEditingdisplay_name|Gene Editing
Tech/tech/=GeneEditingdescription|Gain increasing skill at modifying the DNA of living organisms.
Tech/tech/=SyntheticSkindisplay_name|Synthetic Skin
Tech/tech/=SyntheticSkindescription|Allows Biomass to be used for creating synthetic skin for Cyborgs. Repeated investments allow Cyborgs to infiltrate deeper into human society.
Tech/tech/=CyborgProductiondescription|Allow the creation of Cyborgs. These robots are designed to blend in with human society. Perfectly suited for infiltration but lack firepower capabilities of other robots.
Tech/tech/=CyborgCommanderProductiondescription|These advanced cyborgs are not only incredibly realistic, they are also massively charismatic.  They are very competent warriors, but also capable of inspiring humans to follow them almost anywhere..
