TechBenefit/tech_benefit/=OccultFoundationdisplay_name|Occult Foundation
TechBenefit/tech_benefit/=OccultFoundationdescription|Allows you to found an occult organization organized around yourself.
TechBenefit/tech_benefit/=MachineCultFoundationdisplay_name|Machine Cult Foundation
TechBenefit/tech_benefit/=MachineCultFoundationdescription|Allows you to found an machine cult organized around yourself.
TechBenefit/tech_benefit/=CultSecrecydisplay_name|Cult Secrecy
TechBenefit/tech_benefit/=CultSecrecydescription|Every organization values its privacy, but cults hold onto their secrets dearly.
TechBenefit/tech_benefit/=CultNotorietydisplay_name|Cult Notoriety
TechBenefit/tech_benefit/=CultDedicationdisplay_name|Cult Dedication
TechBenefit/tech_benefit/=CultDedicationdescription|Cults are only as strong as their least dedicated. Weak links must be tempered or removed.
TechBenefit/tech_benefit/=CultConnectionsdisplay_name|Cult Connections
TechBenefit/tech_benefit/=CultConnectionsdescription|Cults with followers in high places are far more formidable. Cult Leaders prioritize recruiting methods and placing their own in positions of power.
TechBenefit/tech_benefit/=CultHierarchydisplay_name|Cult Hierarchy
TechBenefit/tech_benefit/=CultHierarchydescription|Cults do not survive without strong leadership. Effective cults develop clear hierarchies to distribute responsibility and authority.
TechBenefit/tech_benefit/=CultEsotericismdisplay_name|Cult Esotericism
TechBenefit/tech_benefit/=CultEsotericismdescription|“Occult cults are products of their idealogy, no matter how incomprehensible it can be even to its followers. Truth is revealed only to the dedicated.
TechBenefit/tech_benefit/=CultDoctrinedisplay_name|Cult Doctrine
TechBenefit/tech_benefit/=CultDoctrinedescription|“Machine cults are formed around a strict doctrine that most are unable to live up to. But those that can share an unshakeable bond.
TechBenefit/tech_benefit/=Disease_VirusMutationdisplay_name|Virus Mutation
TechBenefit/tech_benefit/=Disease_VirusMutationdescription|Allows you to intentionally mutate existing viruses.  If the new strain is fitter than the old, it will become dominant.
TechBenefit/tech_benefit/=Disease_VirusInventiondisplay_name|Virus Invention
TechBenefit/tech_benefit/=Disease_VirusInventiondescription|Allows you to intentionally invent and introduce new viruses into the city.
TechBenefit/tech_benefit/=Disease_FungalMutationdisplay_name|Fungal Mutation
TechBenefit/tech_benefit/=Disease_FungalMutationdescription|Allows you to intentionally mutate existing fungal infections in the city.  If the new strain is fitter than the old, it will become dominant.
TechBenefit/tech_benefit/=Disease_BacteriaMutationdisplay_name|Bacteria Mutation
TechBenefit/tech_benefit/=Disease_BacteriaMutationdescription|Allows you to intentionally mutate existing bacteria in the city.  If the new strain is fitter than the old, it will become dominant.
TechBenefit/tech_benefit/=Disease_ParasiteMutationdisplay_name|Parasite Mutation
TechBenefit/tech_benefit/=Disease_ParasiteMutationdescription|Allows you to intentionally mutate existing microscopic parasites in the city.  Typically protozoa, helminths, or ectoparasites.  If the new strain is fitter than the old, it will become dominant.
TechBenefit/tech_benefit/=Disease_PrionInventiondisplay_name|Prion Invention
TechBenefit/tech_benefit/=Disease_PrionInventiondescription|Allows you to intentionally invent and introduce new prion diseases into the city.  Prion diseases are always fatal, and are hard to spread.
TechBenefit/tech_benefit/=Disease_ViralVaccineDevelopmentdisplay_name|Virus Vaccine Development
TechBenefit/tech_benefit/=Disease_ViralVaccineDevelopmentdescription|Allows you to invent vaccines for viruses, including viruses you introduced yourself.
TechBenefit/tech_benefit/=Disease_Antiviraldisplay_name|Antiviral Development
TechBenefit/tech_benefit/=Disease_Antiviraldescription|Allows you to invent antivirals for treating viral infections.
TechBenefit/tech_benefit/=Disease_Antifungaldisplay_name|Antifungal Development
TechBenefit/tech_benefit/=Disease_Antifungaldescription|Allows you to invent antifungal medicines for treating fungal infections.
TechBenefit/tech_benefit/=Disease_Antibacterialdisplay_name|Antibacterial Development
TechBenefit/tech_benefit/=Disease_Antibacterialdescription|Allows you to invent antibacterial medicines for treating or preventing bacterial infections.
TechBenefit/tech_benefit/=Disease_Antiprotozoadisplay_name|Antiprotozoa Development
TechBenefit/tech_benefit/=Disease_Antiprotozoadescription|Allows you to invent antiprotozoa medicines for treating or preventing parasitic protozoa infections.
TechBenefit/tech_benefit/=Disease_Antihelminthdisplay_name|Antihelminth Development
TechBenefit/tech_benefit/=Disease_Antihelminthdescription|Allows you to invent antihelminth medicines for treating or preventing parasitic helminth (worms) infections.
TechBenefit/tech_benefit/=Disease_Antiectoparasiticdisplay_name|Antiectoparasitic Development
TechBenefit/tech_benefit/=Disease_Antiectoparasiticdescription|Allows you to invent antiectoparasitic medicines for treating or preventing ectoparasitic infections (fleas, ticks, and other things that live on the surface).
TechBenefit/tech_benefit/=ThirdEyedisplay_name|Third Eye
TechBenefit/tech_benefit/=ThirdEyedescription|Modified humans have developed a third eye that is exceptionally clear-sighted although off-putting.
TechBenefit/tech_benefit/=ThickSkindisplay_name|Thick Skin
TechBenefit/tech_benefit/=ThickSkindescription|Modified humans have developed a thicker and more protective epidermis.
TechBenefit/tech_benefit/=LongerLifespansdisplay_name|Longer Lifespans
TechBenefit/tech_benefit/=LongerLifespansdescription|Humans won’t notice this immediately, but they will benefit from longer lifespans due to genetic tinkering.
TechBenefit/tech_benefit/=FungusManipulationdisplay_name|Fungus Manipulation
TechBenefit/tech_benefit/=FungusManipulationdescription|Allows adjustment of genetics in ways that will adjust their role in the ecosystem.
TechBenefit/tech_benefit/=FungusSpecial_PollutionCollectiondisplay_name|Fungus Special: Pollution Collection
