UISidebarBasicItem/ui_sidebar_item/=CohortDirectorydescription|General directory of all the cohorts in the city.
UISidebarBasicItem/ui_sidebar_item/=EncounterDirectorydescription|General directory of all the encounters currently active in the city.
UISidebarBasicItem/ui_sidebar_item/=FactionDirectory_ByTypedescription|General directory of all the factions, with some general information about each one, grouped by type.
UISidebarBasicItem/ui_sidebar_item/=FactionDirectory_BySectordisplay_name|Faction Sector Directory
UISidebarBasicItem/ui_sidebar_item/=FactionDirectory_BySectordescription|General directory of all the factions, with some general information about each one, grouped by sector.
UISidebarBasicItem/ui_sidebar_item/=MajorLocationsdisplay_name|Major Locations
UISidebarBasicItem/ui_sidebar_item/=MajorLocationsdescription|A directory of all of the districts and points of interest (POIs).  See general information about them, or right-click to jump to them.
UISidebarBasicItem/ui_sidebar_item/=EcologyGraphsdisplay_name|Ecology Graphs
UISidebarBasicItem/ui_sidebar_item/=EcologyGraphsdescription|A detailed graph of recent changes to the ecology in each district of the city.
UISidebarBasicItem/ui_sidebar_item/=GeneManipulationdescription|Do voodoo to animals with nanotech magic science.
UISidebarBasicItem/ui_sidebar_item/=BuildingDirectorydescription|Complete directory of all the buildings in the city, including the ability to click through and see way-too-detailed info about each one.
UISidebarBasicItem/ui_sidebar_item/=PopulationStatsdisplay_name|Population Stats
UISidebarBasicItem/ui_sidebar_item/=PopulationStatsdescription|Statistics and information about different dimensions of the population of the city.  Socioeconomic, professions, group affiliations, etc.
UISidebarBasicItem/ui_sidebar_item/=BuildingResourcesdisplay_name|Building Resources
UISidebarBasicItem/ui_sidebar_item/=BuildingResourcesdescription|Lots of building resources flow from one place to another through the hands of many factions in many different supply chains throughout the city.  This lets you get an overview of some of what is happening.
UISidebarBasicItem/ui_sidebar_item/=DistrictResourcesdisplay_name|District Resources
UISidebarBasicItem/ui_sidebar_item/=DistrictResourcesdescription|Many fewer district resources indicate health or malaise in various districts.  This lets you get an overview of some of what is happening.
UISidebarBasicItem/ui_sidebar_item/=FactionResourcesdisplay_name|Faction Resources
UISidebarBasicItem/ui_sidebar_item/=FactionResourcesdescription|Even fewer central faction resources are held to indicate wealth and other centralized factors.  This lets you get an overview of some of what is happening.
UISidebarBasicItem/ui_sidebar_item/=Inventorydescription|What do you have stored for use?
UISidebarBasicItem/ui_sidebar_item/=DistrictInfodisplay_name|District Info
UISidebarBasicItem/ui_sidebar_item/=DistrictInfodescription|Spreading your machine lairs between multiple districts is much more cost-effective and also gives you greater visibility into what factions are doing.
UISidebarBasicItem/ui_sidebar_item/=BuildNewLairsdisplay_name|Build New Lairs
UISidebarBasicItem/ui_sidebar_item/=BuildNewLairsdescription|Pick buildings of the humans for infestation with your own hidden machine lairs.
UISidebarBasicItem/ui_sidebar_item/=TechTreedisplay_name|Tech Tree
UISidebarBasicItem/ui_sidebar_item/=TechTreedescription|Upgrading techs gives you new or improved capabilities, unit types, machine lairs, and more.  Research in many domains is one of your highest priorities as a machine intelligence.
UISidebarBasicItem/ui_sidebar_item/=EnterBattleModedisplay_name|Enter Battle Mode
UISidebarBasicItem/ui_sidebar_item/=EnterBattleModedescription|Take a battle mode view of the current location, and consider fighting units from encounters in this area.
		
Entering battle mode does not commit you to a fight; it could just be for considering the deployments of your units, or if you even want to engage in a battle here.
