VigilanteTheory/vigilante_theory/=Syndicatedisplay_name|Syndicate
VigilanteTheory/vigilante_theory/=Syndicatedescription|They think we're some sort of new criminal syndicate that is rising because of their superior technology.
VigilanteTheory/vigilante_theory/=Syndicate/potential_name/=TheSyndicatedisplay_name|The Syndicate
VigilanteTheory/vigilante_theory/=Syndicate/potential_name/=TheShadowCouncildisplay_name|The Shadow Council
VigilanteTheory/vigilante_theory/=Syndicate/potential_name/=TheTechCabaldisplay_name|The Tech Cabal
VigilanteTheory/vigilante_theory/=SecretMilitaryContractordisplay_name|Secret Military Contractor
VigilanteTheory/vigilante_theory/=SecretMilitaryContractordescription|They think we're a secret military contractor acting as an enforcer for hire for unknown parties.
VigilanteTheory/vigilante_theory/=SecretMilitaryContractor/potential_name/=ThePMCdisplay_name|The PMC
VigilanteTheory/vigilante_theory/=SecretMilitaryContractor/potential_name/=TheWarMachinedisplay_name|The War Machine
VigilanteTheory/vigilante_theory/=SecretMilitaryContractor/potential_name/=TheEnforcersdisplay_name|The Enforcers
VigilanteTheory/vigilante_theory/=Coupdisplay_name|Coup
VigilanteTheory/vigilante_theory/=Coupdescription|They think we're a puppet of one of the Major Corporations which is launching a coup against the MegaCorp that owns this part of the world.
VigilanteTheory/vigilante_theory/=Coup/potential_name/=TheCoupdisplay_name|The Coup
VigilanteTheory/vigilante_theory/=Coup/potential_name/=ThePuppetdisplay_name|The Puppet
VigilanteTheory/vigilante_theory/=Coup/potential_name/=TheHitSquaddisplay_name|The Hit Squad
VigilanteTheory/vigilante_theory/=SecretPolicedisplay_name|Secret Police
VigilanteTheory/vigilante_theory/=SecretPolicedescription|They think we're the secret police of the MegaCorp that owns this part of the world, acting out its will.
VigilanteTheory/vigilante_theory/=SecretPolice/potential_name/=TheSecretPolicedisplay_name|The Secret Police
VigilanteTheory/vigilante_theory/=SecretPolice/potential_name/=TheLawkeepersdisplay_name|The Lawkeepers
VigilanteTheory/vigilante_theory/=SecretPolice/potential_name/=TheSilencersdisplay_name|The Silencers
VigilanteTheory/vigilante_theory/=SecretSocietydisplay_name|Secret Society
VigilanteTheory/vigilante_theory/=SecretSocietydescription|They think we're a secret society of intelligentsia and inventors rising to oppose state abuses of power.
VigilanteTheory/vigilante_theory/=SecretSociety/potential_name/=TheIlluminatidisplay_name|The Illuminati
VigilanteTheory/vigilante_theory/=SecretSociety/potential_name/=TheNewWorldOrderdisplay_name|The New World Order
VigilanteTheory/vigilante_theory/=SecretSociety/potential_name/=TheOwlsdisplay_name|The Owls
VigilanteTheory/vigilante_theory/=SecretSociety/potential_name/=TheFreemachinistsdisplay_name|The Freemachinists
VigilanteTheory/vigilante_theory/=Aliensdisplay_name|Aliens
VigilanteTheory/vigilante_theory/=Aliensdescription|They think we're an alien invasion being hushed up.
VigilanteTheory/vigilante_theory/=Aliens/potential_name/=TheAliensdisplay_name|The Aliens
VigilanteTheory/vigilante_theory/=Aliens/potential_name/=TheCreaturedisplay_name|The Creature
VigilanteTheory/vigilante_theory/=Aliens/potential_name/=TheInvadersdisplay_name|The Invaders
VigilanteTheory/vigilante_theory/=Superherodisplay_name|Superhero
VigilanteTheory/vigilante_theory/=Superherodescription|They think we're a lone inventor fighting power to bring power to the people.
VigilanteTheory/vigilante_theory/=Superhero/potential_name/=TheIcondisplay_name|The Icon
VigilanteTheory/vigilante_theory/=Superhero/potential_name/=TheGhostdisplay_name|The Ghost
VigilanteTheory/vigilante_theory/=Superhero/potential_name/=TheRoboticistdisplay_name|The Roboticist
VigilanteTheory/vigilante_theory/=ArtificialIntelligencedisplay_name|Artificial Intelligence
VigilanteTheory/vigilante_theory/=ArtificialIntelligencedescription|They think we're a sentient AI that has emerged and is on the loose. Huh.
VigilanteTheory/vigilante_theory/=ArtificialIntelligence/potential_name/=TheAIdisplay_name|The AI
VigilanteTheory/vigilante_theory/=ArtificialIntelligence/potential_name/=TheMachineIntelligencedisplay_name|The Machine Intelligence
VigilanteTheory/vigilante_theory/=ArtificialIntelligence/potential_name/=TheMetalMinddisplay_name|The Metal Mind
VigilanteTheory/vigilante_theory/=OuterHumansdisplay_name|Outer Humans
VigilanteTheory/vigilante_theory/=OuterHumansdescription|They think that humans from the galactic territories have turned their attention back to Earth.
VigilanteTheory/vigilante_theory/=OuterHumans/potential_name/=TheOuterHumansdisplay_name|The Outer Humans
VigilanteTheory/vigilante_theory/=OuterHumans/potential_name/=TheGalacticTerritoriesdisplay_name|The Galactic Territories
VigilanteTheory/vigilante_theory/=OuterHumans/potential_name/=TheStellarSovereignsdisplay_name|The Stellar Sovereigns
